input,output
There are many countries in the world that hardly qualify as pluralistic democracies. | There are many countries in the world that hardly qualify as pluralistic democracies,arguing
US human rights report invites scorn | invites scorn,arguing
"While secular and democratic countries such as India merit a litany, a country like Saudi Arabia, one of the least free countries in the world, was turned over in 32 pages. | was turned over in 32 pages",sentiment
"""The report fails to acknowledge the important policy measures and initiatives by the Government of Pakistan to promote and protect human rights, ""a Foreign Office spokesman said. | the important policy measures and initiatives by the Government of Pakistan to promote and protect human rights",sentiment
"""This is unacceptable and a gross misstatement of facts, ""the spokesman said. | is unacceptable",arguing
"ISLAMABAD - Pakistan Tuesday slated US State Department's country report on human rights situation in Pakistan and labelled it ""factually inaccurate and unwarranted."" | slated",sentiment
"""This is unacceptable and a gross misstatement of facts, ""the spokesman said. | is unacceptable and a gross misstatement of facts",sentiment
"The spokesman said that despite these developments, the report states'the Govt's human rights record remained poor'. | remained poor",arguing sentiment
"ISLAMABAD - Pakistan Tuesday slated US State Department's country report on human rights situation in Pakistan and labelled it ""factually inaccurate and unwarranted."" | factually inaccurate and unwarranted",arguing sentiment
"Recently, the system of joint electorates has been introduced respecting the wishes of the minority communities, ""the spokesman said. | wishes",sentiment
Pakistan rejects US human rights report | rejects,sentiment
"The cause of human rights would be better served if all states, in a spirit of cooperation and understanding, address the problems they face in promoting and protecting human rights."" | would be better served if all states, in a spirit of cooperation and understanding, address the problems they face in promoting and protecting human rights",arguing
"The source said the most serious point in the report was an observation that the judiciary was subjected to political pressure, but referring to it as being ""independent in principle."" | was subjected to political pressure",arguing sentiment
Officials bristle at US human rights report | bristle at,sentiment
"On the other hand, the report praised the role played by the Lebanese press, describing it as containing daily criticism of the government and its practices. | praised",sentiment
"The report's reference to intelligence agents'monitoring the activities of opposition politicians and tapping the phones of certain government leaders ""is a serious matter and harms Lebanon's image as a democratic country, ""the source added. | is a serious matter and harms Lebanon's image as a democratic country",sentiment
"Local authorities have expressed dissatisfaction - but not surprise - with regard to excerpts about Lebanon in the US State Department's annual report on human rights, a copy of which has been delivered to the Foreign Ministry. | have expressed dissatisfaction",sentiment
"An official source who described the reaction on Tuesday said the criticism was an annual event and emphasized that it was not directed at human rights in Lebanon only, but covered several other countries in as well. | emphasized that it was not directed at human rights in Lebanon only",arguing
"The source said the most serious point in the report was an observation that the judiciary was subjected to political pressure, but referring to it as being ""independent in principle."" | being ""independent in principle",sentiment
"A copy of the report, which criticizes what it described as the weakening of the central government's prerogatives, has been handed over by the deputy chief of mission at the US Embassy in Awkar, Carol Kalin, to the Foreign Ministry's acting director-general, Naji Abi Assi. | described as the weakening of the central government's prerogatives",arguing
"A copy of the report, which criticizes what it described as the weakening of the central government's prerogatives, has been handed over by the deputy chief of mission at the US Embassy in Awkar, Carol Kalin, to the Foreign Ministry's acting director-general, Naji Abi Assi. | criticizes",sentiment
"However, U.S. officials also note that some of the rebels do not have international ties, and they have criticized Russian military and police abuse of civilians -- although the criticism was toned down greatly after Russia became an enthusiastic member of the anti-terrorist coalition, sharing intelligence information, opening its airspace to humanitarian flights and giving a green light to U.S. military deployment in Central Asia. | criticism was toned down greatly",sentiment
"However, U.S. officials also note that some of the rebels do not have international ties, and they have criticized Russian military and police abuse of civilians -- although the criticism was toned down greatly after Russia became an enthusiastic member of the anti-terrorist coalition, sharing intelligence information, opening its airspace to humanitarian flights and giving a green light to U.S. military deployment in Central Asia. | giving a green light",agreement
"The Foreign Ministry said Thursday that it was ""surprised, to put it mildly ""by the U.S. State Department's criticism of Russia's human rights record and objected in particular to the ""odious ""section on Chechnya. | was ""surprised, to put it mildly """,sentiment
"The ministry also suggested that before judging others'rights records, the United States should investigate the situation at home, including the government's failure to ratify some international human rights agreements and the use of the death penalty. | suggested that before judging others'rights records, the United States should investigate the situation at home",arguing
"Russian security forces in Chechnya have ""demonstrated little respect for basic human rights and there were credible reports of serious violations, including numerous reports of extrajudicial killings by both the government and Chechen fighters, ""the report said. | there were credible reports of serious violations, including numerous reports of extrajudicial killings",sentiment
"The Foreign Ministry said Thursday that it was ""surprised, to put it mildly ""by the U.S. State Department's criticism of Russia's human rights record and objected in particular to the ""odious ""section on Chechnya. | objected in particular to the ""odious """,sentiment
"However, U.S. officials also note that some of the rebels do not have international ties, and they have criticized Russian military and police abuse of civilians -- although the criticism was toned down greatly after Russia became an enthusiastic member of the anti-terrorist coalition, sharing intelligence information, opening its airspace to humanitarian flights and giving a green light to U.S. military deployment in Central Asia. | became an enthusiastic member",sentiment
"""These circles have persistently tried to reanimate the'Chechen problem,'and turn it again into an irritant in the Russian-American dialogue, ""the ministry said. | persistently tried to reanimate the'Chechen problem,'and turn it again into an irritant in the Russian-American dialogue",sentiment
Ministry Criticizes'Odious'U.S. Report | Criticizes'Odious ',sentiment
"The Foreign Ministry said that the State Department pronouncement on Chechnya reflected the efforts of ""certain circles ""in the United States that object to the new U.S.-Russian partnership against international terrorism. | object",sentiment
"U.S. officials have partially endorsed that view, pointing to rebel leaders such as Shamil Basayev and the Jordanian-born Omar Ibn al Khattab, who are believed to have financial and other ties to Osama bin Laden's al-Qaida terrorist network. | have partially endorsed",agreement
"Russian security forces in Chechnya have ""demonstrated little respect for basic human rights and there were credible reports of serious violations, including numerous reports of extrajudicial killings by both the government and Chechen fighters, ""the report said. | demonstrated little respect for basic human rights",sentiment
"These were: the right to life, freedom of expression and religion and freedom from torture, while it also urged that the retroactive imposition of more severe penalties for crimes be avoided. | urged",sentiment
"""While we recognize that the threat of terrorism requires specific measures, we call on all governments to refrain from any excessive steps which would violate fundamental freedoms and undermine legitimate dissent, ""a joint statement issued in Strasbourg, Geneva and Warsaw said. | call on",sentiment
"The United States earlier this week hinted it may expand its war against terrorism beyond Afghanistan to Iraq, bringing swift criticism from both Germany and France, who called for restraint in the future of the military campaign. | called for",sentiment
"All three groups said it was essential that governments strike a balance between ""legitimate national security concerns and fundamental freedoms that is fully consistent with their international law commitments."" | it was essential that governments strike a balance between ""legitimate national security concerns and fundamental freedoms that is fully consistent with their international law commitments",arguing
"""While we recognize that the threat of terrorism requires specific measures, we call on all governments to refrain from any excessive steps which would violate fundamental freedoms and undermine legitimate dissent, ""a joint statement issued in Strasbourg, Geneva and Warsaw said. | call on all governments to refrain from any excessive steps which would violate fundamental freedoms and undermine legitimate dissent",arguing
"The United States earlier this week hinted it may expand its war against terrorism beyond Afghanistan to Iraq, bringing swift criticism from both Germany and France, who called for restraint in the future of the military campaign. | called for restraint in the future of the military campaign",arguing
The killings prompted a call by London-based rights group Amnesty International for an inquiry into the affair. | call by London-based rights group Amnesty International for,sentiment
The statement listed what it said were essential rights that could not be hollowed out because of the fight against terrorism. | could not be hollowed out because of the fight against terrorism,arguing
"Robinson, a particularly critical voice in guarding against human rights abuses in the wake of the September 11 attacks, said Wednesday the war on terrorism was taking a heavy toll on civil liberties. | was taking a heavy toll on civil liberties",arguing sentiment
"Robinson, a particularly critical voice in guarding against human rights abuses in the wake of the September 11 attacks, said Wednesday the war on terrorism was taking a heavy toll on civil liberties. | a particularly critical voice in guarding against human rights abuses",arguing
"STRASBOURG, Nov 29 (AFP) -- Three leading international organisations warned jointly Thursday [29 November] that the international fight against terrorism should not be a pretext for the violation of human rights. | warned",sentiment
"The Council of Europe, the Organization for Security and Cooperation in Europe (OSCE) and the UN High Commissioner for Human Rights said they were responding to recent ""worrying developments ""in some countries regarding human rights following the September 11 attacks. | worrying developments",sentiment
"""When the bill (Suhakam Act) was tabled in the parliament, our Foreign Affairs Minister (Syed Hamid Albar) promised that this would be a positive development in protecting and promoting human rights in Malaysia. | promised",intention
The NGOs stressed the government has also failed to respect or recognise Suhakam's recommendations and also lamented the decline of human rights in Malaysia. | has also failed to respect or recognise Suhakam's recommendations,sentiment
"Ramdas said the government's failure to adhere to the commission's recommendations creates the impression that Suhakam is nothing but ""a mere public relations tool "". | failure to adhere to the commission's recommendations",sentiment
"""This clearly undermines the independence of the Commission and will erode public's confidence on it."" | clearly undermines the independence of the Commission and will erode public's confidence on it",sentiment arguing
"""Our concern is whether persons used to the role of policy implementors can objectively assess and critique executive policies which impinge on human rights, ""said Ramdas. | concern is",sentiment
"""We are now looking at Suhakam as an institution to fulfill this promise, ""he stressed. | promise",intention
"In a related development, Suhakam commissioner Prof Hamdan Adnan told malaysiakini that he was disappointed with the boycott which he described as ""unfair "". | unfair",arguing
"Ramdas said the government's failure to adhere to the commission's recommendations creates the impression that Suhakam is nothing but ""a mere public relations tool "". | creates the impression that Suhakam is nothing but ""a mere public relations tool",arguing
"""The NGOs note with deep concern that the government has largely ignored Suhakam's maiden report and its freedom of assembly report. | has largely ignored",sentiment
The NGOs stressed the government has also failed to respect or recognise Suhakam's recommendations and also lamented the decline of human rights in Malaysia. | respect or recognise,sentiment
"Meanwhile, another concern raised was Suhakam's independence following the appointment of former attorney-general Abu Talib Othman as its new chairperson and the decision not to renew the appointments of three commissioners, Anuar Zainal Abidin, Prof Mehrun Siraj and Dr Salleh Mohd Nor. | concern",sentiment
"On the other hand, the NGOs said there is nothing in the public records which shows that Abu Talib was committed to protecting civil liberties and advancing human rights. | there is nothing in the public records which shows that Abu Talib was committed to protecting civil liberties and advancing human rights",arguing
"The NGOs also noted that the government has yet to show its commitment and respect for universal human rights principles by ratifying the international instruments of human rights, namely the International Covenant on Civil and Political Rights, the International Covenant on Economic, Social and Cultural Rights and the Covenant Against Torture. | respect for",sentiment
"On the other hand, the NGOs said there is nothing in the public records which shows that Abu Talib was committed to protecting civil liberties and advancing human rights. | advancing",sentiment
"""This action shows that the NGOs themselves do not acknowledge Suhakam and do not want to work with us, ""said Hamdan. | shows that the NGOs themselves do not acknowledge Suhakam and do not want to work with us",arguing
Boycott unfair | unfair,arguing
The NGOs stressed the government has also failed to respect or recognise Suhakam's recommendations and also lamented the decline of human rights in Malaysia. | lamented,sentiment
The NGOs stressed the government has also failed to respect or recognise Suhakam's recommendations and also lamented the decline of human rights in Malaysia. | recommendations,arguing
"Instead of resorting to such measures, the commissioner said the NGOs should work with Suhakam for the advancement of human rights in this country. | should work with Suhakam for the advancement of human rights in this country",arguing
"""This clearly undermines the independence of the Commission and will erode public's confidence on it."" | confidence on",sentiment
"""Over the last two years, the state of human rights in Malaysia has deteriorated with increasing numbers of people detained without trial under the Internal Security Act, with blanket police ban on assemblies, with restrictions to the right of free speech and expression and with further restrictive amendments to the election laws, all of which have further denied our democratic space, ""he added. | has deteriorated with increasing numbers of people detained without trial under the Internal Security Act, with blanket police ban on assemblies, with restrictions to the right of free speech and expression and with further restrictive amendments to the election laws, all of which have further denied our democratic space",arguing
"Speaking on behalf of the NGOs, human rights organisation, Hakam president Ramdas Tikamdas said the boycott was to protest the government's poor response to Suhakam's numerous recommendations thus far. | recommendations",arguing
"""In the meantime, we will monitor the commissioners in the discharge of their statutory duties in respect of the pending complaints and inquires, ""he said. | complaints",sentiment
"""We will also note to what extent Suhakam will monitor the government's compliance with previous recommendations on various human rights issues contained in its maiden report to the Parliament as well as its other reports, ""he added. | recommendations",arguing
"""Whereas the Kesas report, submitted after a public inquiry, earned the disdain and wrath of the Prime Minister (Dr Mahathir Mohamad) who summarily dismissed it as a product of'western biased', ""he said during a press conference at the Selangor Chinese Assembly Hall in Kuala Lumpur. | disdain and wrath",sentiment
"Meanwhile, another concern raised was Suhakam's independence following the appointment of former attorney-general Abu Talib Othman as its new chairperson and the decision not to renew the appointments of three commissioners, Anuar Zainal Abidin, Prof Mehrun Siraj and Dr Salleh Mohd Nor. | the decision not to",intention
"Ramdas said it was perceived that Anuar and Mehrun, instrumental behind the scathing Kesas report, were dropped for performing their duties without fear or favour. | were dropped for performing their duties without fear or favour",arguing
"Ramdas said it was perceived that Anuar and Mehrun, instrumental behind the scathing Kesas report, were dropped for performing their duties without fear or favour. | instrumental behind the scathing Kesas report",arguing
"""This action shows that the NGOs themselves do not acknowledge Suhakam and do not want to work with us, ""said Hamdan. | do not acknowledge",agreement
He added the boycott could create the impression that the NGOs were acting out of self interest and are not honest about championing human rights. | championing,sentiment
"""The fact that three commissioners have now been axed is a clear signal to other commissioners that their tenure is dependent on whether or not they have pleased the executive. | have now been axed",sentiment
Ramdas said Suhakam's performance will be judged not on the number of statements issued or reports produced but on the improvement of human rights in Malaysia. | will be judged not on the number of statements issued or reports produced but on the improvement of human rights in Malaysia,arguing
"In a related development, Suhakam commissioner Prof Hamdan Adnan told malaysiakini that he was disappointed with the boycott which he described as ""unfair "". | was disappointed with",sentiment
"The Kesas report irked Mahathir after it found the police guilty of using excessive force during a mass anti-government gathering along the Kesas highway on Nov 5, 2000. | irked",sentiment
"""The NGOs note with deep concern that the government has largely ignored Suhakam's maiden report and its freedom of assembly report. | deep concern",sentiment
"Instead of resorting to such measures, the commissioner said the NGOs should work with Suhakam for the advancement of human rights in this country. | Instead of resorting to such measures",sentiment
"They added that Abu Talib, during his tenure as AG [attorney general], was also instrumental for the impeachment of then Lord President Salleh Abas and five Supreme Court judges in 1988. | was also instrumental for the impeachment of then Lord President Salleh Abas and five Supreme Court judges in 1988",arguing
"Claiming that there was ""nothing personal "", the NGOs said their concern was based on his defense of the 1987'Ops Lalang'where more than 100 people were detained under the ISA [Internal Security Act]. | defense of",sentiment
"The NGOs also noted that the government has yet to show its commitment and respect for universal human rights principles by ratifying the international instruments of human rights, namely the International Covenant on Civil and Political Rights, the International Covenant on Economic, Social and Cultural Rights and the Covenant Against Torture. | commitment",intention
It is clear that the United States pays no attention to fundamental human rights unless they serve its political purpose. | pays no attention to fundamental human rights unless they serve its political purpose,sentiment arguing
"However, such a criticism is absent in the 2001 human rights report as the United States is planning to try the al-Qa'ida and Taliban detainees in military courts while refusing to grant them POW status. | is planning to try the al-Qa'ida and Taliban detainees in military courts while refusing to grant them POW status",sentiment
"Many countries in Asia, Europe, Africa, and Latin America have rejected the content of the US Human Rights Report, calling it a brazen distortion of the situation, a wrongful and illegitimate move, and an interference in the internal affairs of other countries. | calling it a brazen distortion of the situation, a wrongful and illegitimate move, and an interference in the internal affairs of other countries",sentiment
These facts are well understood by the US Administration as human rights violations take place every day. | These facts are well understood by the US Administration as human rights violations take place every day,sentiment
"However, such a criticism is absent in the 2001 human rights report as the United States is planning to try the al-Qa'ida and Taliban detainees in military courts while refusing to grant them POW status. | refusing to",intention
"The British News Agency Reuters remarked that in the 2000 human rights report, the United States criticized Egypt for trying suspected terrorists in military courts. | criticized Egypt for trying suspected terrorists in military courts",sentiment
The US judgment of the practice of human rights depends on US interests as well. | The US judgment of the practice of human rights depends on US interests as well,sentiment
"Many countries in Asia, Europe, Africa, and Latin America have rejected the content of the US Human Rights Report, calling it a brazen distortion of the situation, a wrongful and illegitimate move, and an interference in the internal affairs of other countries. | rejected",sentiment
"Many Americans have given evidence to prove the wrong judgment of their administration against human rights in other countries, especially in Vietnam. | have given evidence to prove the wrong judgment of their administration against human rights in other countries, especially in Vietnam",arguing
"Though the report has been made public for 10 days, its contents, which are inaccurate and lacking good will, continue to be commented on by the world media. | are inaccurate",arguing
"Though the report has been made public for 10 days, its contents, which are inaccurate and lacking good will, continue to be commented on by the world media. | are inaccurate and lacking good will",sentiment
The Annual Human Rights Report of the US State Department has been strongly criticized and condemned by many countries. | strongly criticized and condemned,sentiment
"The article stressed that people in Vietnam are free to practice any religion, whether they are buddhists, catholics, or protestants. | stressed that people in Vietnam are free to practice any religion, whether they are buddhists, catholics, or protestants",arguing
World analysts remarked that the US evaluation of the practice of human rights in other countries depends on the level of political relations between the United States and those countries. | the US evaluation of the practice of human rights in other countries depends on the level of political relations between the United States and those countries,sentiment
Evidence show that human rights violations in the United States have been ignored for many years. | human rights violations in the United States have been ignored for many years,sentiment
"In the United States, torture and pressure to confess crime is common. | torture and pressure to confess crime is common",sentiment
"Recently, the Information Office of the Chinese People's Congress released a report on human rights in the United States in 2001, criticizing violations of human rights there. | criticizing violations of human rights",sentiment
These facts are well understood by the US Administration as human rights violations take place every day. | are well understood by the US Administration as human rights violations take place every day,arguing
"Many countries in Asia, Europe, Africa, and Latin America have rejected the content of the US Human Rights Report, calling it a brazen distortion of the situation, a wrongful and illegitimate move, and an interference in the internal affairs of other countries. | a brazen distortion of the situation, a wrongful and illegitimate move, and an interference in the internal affairs of other countries",arguing
The Annual Human Rights Report released by the US State Department is not convincing as it is inaccurate and fabricated. | is not convincing as it is inaccurate and fabricated,sentiment
The US judgment of the practice of human rights depends on US interests as well. | depends on US interests as well,arguing
World analysts remarked that the US evaluation of the practice of human rights in other countries depends on the level of political relations between the United States and those countries. | depends on the level of political relations between the United States and those countries,arguing
"The Washington Times last weekend carried an article by Andrew Welsdan, a representative of the US Fund for Reconciliation and Development, rejecting the report's allegation of human rights in Vietnam. | rejecting",agreement
Many people have been sentenced to death for crime they did not commit as a result of an unjust legal system. | Many people have been sentenced to death for crime they did not commit as a result of an unjust legal system,sentiment
"However, such a criticism is absent in the 2001 human rights report as the United States is planning to try the al-Qa'ida and Taliban detainees in military courts while refusing to grant them POW status. | such a criticism",sentiment
"After the 11 September suicide bomb attacks on the World Trade Center and the Pentagon, the United States, instead of investigating the matter and coming up with proof, put all the blame for terrorism on Afghanistan. | put all the blame for terrorism on",sentiment arguing
"As a lesson to others!, various American TV channels, daily, show shots of the conditions under which these prisoners are being kept. | As a lesson to others!, various American TV channels, daily, show shots of the conditions under which these prisoners are being kept",sentiment
"North Korea has also been made the target due to the reason that according to the United States, it is being blamed for transferring nuclear technology and weapons to Islamic countries. | is being blamed for transferring nuclear technology and weapons to Islamic countries",arguing sentiment
Five hundred Taliban prisoners arrested from Afghanistan are being kept in cages on an island near Cuba. | Five hundred Taliban prisoners arrested from Afghanistan are being kept in cages on an island near Cuba,sentiment
The way in which Pakistan has been fully supporting the United States after 11 September 2001 -- the total benefit of that has been earned by the United States. | the total benefit of that has been earned by the United States,sentiment arguing
This not only shows the double standards of the US but also its selfishness. | the double standards of the US but also its selfishness,sentiment
"This can be traced back to the events in 1818, when American cowboys used blind force to oppress the blacks. | used blind force to oppress the blacks",sentiment
"According to China, the American society is engulfed by violence and crime. | is engulfed by violence and crime",arguing
"The whole world witnessed this loathsome action by the United States, but no one -- including the Muslim community -- raised a voice against this horrifying act of oppression. | this horrifying act of oppression",sentiment
The actual US objective is the protection of its own interests worldwide for which it does not care for any moral values. | The actual US objective is the protection of its own interests worldwide for which it does not care for any moral values,arguing sentiment
The CIA was given the task to topple governments and install rulers of its own choice. | own choice,sentiment
"It can be derived from this that the US attack on Afghanistan without any logic, was not an impulsive action but the psychology of maintaining US supremacy was fully involved in it. | It can be derived from this that the US attack on Afghanistan without any logic, was not an impulsive action",arguing
"Instead of blindly accepting every demand made by the United States and responding positively to every American phone call, Pakistan should take every single step carefully. | Instead of blindly accepting every demand made by the United States and responding positively to every American phone call",sentiment
"Encouraged by the global community's shameful silence, the United States has announced the second phase of its war against terrorism. | Encouraged by the global community's shameful silence, the United States has announced the second phase of its war against terrorism",sentiment
"The seven countries which the US terms as a threat to its security and against which it can use nuclear weapons, also include Russia and China. | terms as a threat to its security and against which it can use nuclear weapons, also include Russia and China",sentiment arguing
Racial prejudice has assumed alarming proportions. | Racial prejudice,sentiment
"Therefore, China is justified in demanding that the United States, by creating conflicts and by embarking upon the policy of oppression and supremacy should stop interfering in the affairs of other countries in the name of human rights. | demanding that the United States, by creating conflicts and by embarking upon the policy of oppression and supremacy should stop interfering in the affairs of other countries in the name of human rights",arguing
American intellectual Noam Chomsky has proved in his writings that the accomplishment of its goals by aggression and terrorism is a part of the American psyche. | goals,intention
"The whole world witnessed this loathsome action by the United States, but no one -- including the Muslim community -- raised a voice against this horrifying act of oppression. | raised a voice against",sentiment
"During the same period, anti-Soviet hysteria was also promoted strongly. | anti-Soviet hysteria",sentiment
The way in which Pakistan has been fully supporting the United States after 11 September 2001 -- the total benefit of that has been earned by the United States. | has been fully supporting,sentiment
"In this operation, the manner in which defenseless, innocent and poor Muslims were blown up by ammunition is one of the most dreadful events in history. | In this operation, the manner in which defenseless, innocent and poor Muslims were blown up by ammunition is one of the most dreadful events in history",sentiment
"During the same period, anti-Soviet hysteria was also promoted strongly. | promoted strongly",sentiment
"According to the analysis of Chomsky, after World War II, the US think tank had planned to subjugate a few regions of the world for its economic progress. | had planned to subjugate a few regions of the world for its economic progress",arguing
"Encouraged by the global community's shameful silence, the United States has announced the second phase of its war against terrorism. | shameful",sentiment
"During the same period, anti-Soviet hysteria was also promoted strongly. | anti-Soviet hysteria was also promoted strongly",sentiment
There is no protection of women rights including their respect and sanctity. | There is no protection of women rights including their respect and sanctity,arguing sentiment
American intellectual Noam Chomsky has proved in his writings that the accomplishment of its goals by aggression and terrorism is a part of the American psyche. | has proved in his writings that the accomplishment of its goals by aggression and terrorism is a part of the American psyche,arguing
"The whole world witnessed this loathsome action by the United States, but no one -- including the Muslim community -- raised a voice against this horrifying act of oppression. | this loathsome action by",sentiment
"The whole world witnessed this loathsome action by the United States, but no one -- including the Muslim community -- raised a voice against this horrifying act of oppression. | but no one -- including the Muslim community -- raised a voice",sentiment
In the document serious criticism was made on the expanding military presence by the United States at the international level and it was demanded that the United States should stop the policy of dominating the world. | serious criticism was made on,sentiment
It is possible that the United States itself planned this suicidal attack. | It is possible that the United States itself planned this suicidal attack,arguing sentiment
"It has been clearly mentioned in various documents including the US National Security Council memorandum number 68 issued in 1950, that US supremacy has to be maintained at any cost. | clearly mentioned in various documents including the US National Security Council memorandum number 68 issued in 1950, that US supremacy has to be maintained at any cost",sentiment
This report [above-mentioned document by China] should be an eye opener for the whole world and the United States should be viewed in its true perspective. | should be an eye opener for the whole world,arguing
"In the document, the United States has been very openly told that it has become the number one country in damaging solidarity of other countries and violating human rights there. | has become the number one country in damaging solidarity of other countries and violating human rights there",arguing sentiment
"After the 11 September events, the United States completely ignored the international convention of human rights and by doing so negated its own constitution. | by doing so negated its own constitution",arguing
"It is due to this hegemony, which the United States wants to maintain, that its State Department makes an assessment of the human rights situation in different countries and prepares a report on their violations all over the world. | this hegemony",sentiment
It is possible that the United States itself planned this suicidal attack. | planned,intention
"Above all, the US media has reported that the involvement of Jews in the 11 September events cannot be ruled out. | cannot be ruled out",arguing
This report [above-mentioned document by China] should be an eye opener for the whole world and the United States should be viewed in its true perspective. | should be viewed in its true perspective,arguing
This also exposes the background of keeping the US troops and military basis in different parts of the world. | the background of keeping the US troops and military basis in different parts of the world,sentiment
Pakistan also needs to rethink in this regard. | needs to rethink in this regard,arguing
"By declaring Iraq, Iran and North Korea as'axis of evil', the United States has announced to target these countries in the same manner as! Afghanistan. | has announced to",intention
These prisoners have been placed in inhuman conditions and the reason for keeping them on this island is that US law does not apply there. | These prisoners have been placed in inhuman conditions and the reason for keeping them on this island is that US law does not apply there,sentiment
"The Iranian President Mohammed Khatami, on the start of his visit to Austria, protested against this dictatorial move by the United States. | this dictatorial move by",sentiment
"Since then, the United States has been raising artificial slogans of preservation of democracy and human rights and developing standards of living. | has been raising artificial slogans of preservation of democracy and human rights and developing standards of living",sentiment
These prisoners have been placed in inhuman conditions and the reason for keeping them on this island is that US law does not apply there. | is that US law does not apply there,arguing
Racial prejudice has assumed alarming proportions. | has assumed alarming proportions,arguing
"The Iranian President Mohammed Khatami, on the start of his visit to Austria, protested against this dictatorial move by the United States. | protested against",sentiment
The actual US objective is the protection of its own interests worldwide for which it does not care for any moral values. | objective is,intention
"Instead of blindly accepting every demand made by the United States and responding positively to every American phone call, Pakistan should take every single step carefully. | demand",sentiment
"According to the analysis of Chomsky, after World War II, the US think tank had planned to subjugate a few regions of the world for its economic progress. | subjugate a few regions of the world for its economic progress",sentiment
"By declaring Iraq, Iran and North Korea as'axis of evil', the United States has announced to target these countries in the same manner as! Afghanistan. | declaring Iraq, Iran and North Korea as'axis of evil",sentiment
"Instead of blindly accepting every demand made by the United States and responding positively to every American phone call, Pakistan should take every single step carefully. | responding positively to",sentiment
In the document serious criticism was made on the expanding military presence by the United States at the international level and it was demanded that the United States should stop the policy of dominating the world. | the policy of dominating the world,sentiment
"Since then, the United States has been raising artificial slogans of preservation of democracy and human rights and developing standards of living. | artificial",arguing
Apparently President Bush's attitude looks like a reaction to the events of 11 September 2001. | Apparently President Bush's attitude looks like a reaction to the events of 11 September 2001,arguing
"After the 11 September events, the United States completely ignored the international convention of human rights and by doing so negated its own constitution. | completely ignored the international convention of human rights",arguing
"Instead of blindly accepting every demand made by the United States and responding positively to every American phone call, Pakistan should take every single step carefully. | blindly accepting",agreement
They said it was an act of terrorism that was against international law and said it crushed human rights principles! | was an act of terrorism that was against international law,sentiment arguing
The only reason for this would be opposition to the United States. | opposition to,sentiment
"When the Imam (may God be satisfied with him) issued the fatwa against Salman Rushdie for insulting the Prophet (peace be upon him) and the holy Koran, the countries that are so-called supporters of human rights protested against the fatwa. | are so-called supporters of human rights",sentiment arguing
"If the European countries were honest in the withdrawal of their ambassadors from Iran, blaming Iran for violating human rights, then they should recall their ambassadors from the United States. | If the European countries were honest in the withdrawal of their ambassadors from Iran, blaming Iran for violating human rights, then they should recall their ambassadors from the United States",arguing
"After all the United States is not violating the rights of one human being, but many many human beings. | After all the United States is not violating the rights of one human being, but many many human beings",sentiment arguing
It would therefore be appropriate for all Islamic countries to withdraw their ambassadors from the United States. | It would therefore be appropriate for all Islamic countries to withdraw their ambassadors from,sentiment
"If the European countries were honest in the withdrawal of their ambassadors from Iran, blaming Iran for violating human rights, then they should recall their ambassadors from the United States. | blaming Iran for violating human rights",arguing sentiment
"No one will allow this human achievement, which is the discovery of God-given human rights, which is achieved after thousands of years of research, to be wasted away. | God-given",arguing
It is obvious no country will put up with this cruelty. | this cruelty,sentiment
The United States thinks that it can silence the justice-seeking cries of the peoples of the world with the sound of explosions from 7-ton bombs and it thinks that it can justify its own inhuman behavior in the shadow of this noise. | can justify its own inhuman behavior in the shadow of this noise,arguing
This directive is issued at a time when the American government is claiming to lead the fight against terrorism throughout the world. | This directive is issued at a time when the American government is claiming to lead the fight against terrorism throughout the world,sentiment
"No one will allow this human achievement, which is the discovery of God-given human rights, which is achieved after thousands of years of research, to be wasted away. | this human achievement",sentiment
It is obvious no country will put up with this cruelty. | It is obvious no country will put up with this cruelty,arguing
This directive is issued at a time when the American government is claiming to lead the fight against terrorism throughout the world. | is claiming to lead the fight against terrorism throughout the world,arguing
The United States thinks that it can silence the justice-seeking cries of the peoples of the world with the sound of explosions from 7-ton bombs and it thinks that it can justify its own inhuman behavior in the shadow of this noise. | thinks that it can justify its own inhuman behavior in the shadow of this noise,sentiment arguing
"No one will allow this human achievement, which is the discovery of God-given human rights, which is achieved after thousands of years of research, to be wasted away. | No one will allow this human achievement, which is the discovery of God-given human rights, which is achieved after thousands of years of research, to be wasted away",arguing
"It seems that following the blow that the Americans received on September 11 in New York and Washington, the United States is determined to take justice to pre-historic times. | It seems that following the blow that the Americans received on September 11 in New York and Washington, the United States is determined to take justice to pre-historic times",sentiment
It would therefore be appropriate for all Islamic countries to withdraw their ambassadors from the United States. | It would therefore be appropriate for all Islamic countries to withdraw their ambassadors from the United States,arguing
This was not simply a directive from God that was confirmed by all the clerics throughout the Islamic world. | was not simply a directive from God that was confirmed by all the clerics throughout the Islamic world,arguing
"When the Imam (may God be satisfied with him) issued the fatwa against Salman Rushdie for insulting the Prophet (peace be upon him) and the holy Koran, the countries that are so-called supporters of human rights protested against the fatwa. | be satisfied with",sentiment
By clarifying the Imam's edict the Islamic Republic of Iran made the people of the world understand that insulting the Prophet was in fact violating the rights of millions of people throughout the world. | insulting the Prophet was in fact violating the rights of millions of people throughout the world,sentiment
"No one will allow this human achievement, which is the discovery of God-given human rights, which is achieved after thousands of years of research, to be wasted away. | is achieved after thousands of years of research",arguing
"Now the United States has issued an assassination order against millions of human beings without having any proof, reason or documentation. | has issued an assassination order against",sentiment
