input,output
arguing | There are many countries in the world that hardly qualify as pluralistic democracies. | There are many countries in the world that hardly qualify as pluralistic democracies,medium
"sentiment | Canada's Environmental Minister, David Anderson, is under pressure from the country's energy producers to follow the U.S. position. | pressure",medium
"sentiment | Prescott said that while the U.S. decision to reject the Kyoto agreement is a cause for concern, pressure will be maintained on the Bush administration to go further with its current voluntary emission-reduction targets. | decision to reject",medium high
sentiment | Britain's Prescott Pushes for Kyoto Pact Backing | Pushes for,medium high
"sentiment | Prescott, Britain's front man in pushing the accord, said the United States until recently was critical of the science that led to the Kyoto pact but has now accepted it, and he remains optimistic that the goals of the United States and of other signatory nations would converge. | pushing",medium high
"arguing | ""At the least the difference between some estimates clearly shows a great deal more talking and assessment is needed, ""Reuters quoted Prescott as telling the delegates, who represented both business and environmental groups. | clearly shows a great deal more talking and assessment is needed",medium
"arguing | ""At the least the difference between some estimates clearly shows a great deal more talking and assessment is needed, ""Reuters quoted Prescott as telling the delegates, who represented both business and environmental groups. | is needed",medium
"sentiment | Prescott came to Anderson's support on Friday, agreeing that financial figures quoted by Kyoto opponents in Canada about the potential damage to the Canadian economy were ""pure fiction."" | support",medium
"intention | Although developed countries are the world's main source of large-scale air pollution, Jordan's decision to sign the protocol is aimed at stressing its ""commitment towards the different international conventions, ""Juneidi said. | stressing its ""commitment towards",medium
"intention | Although developed countries are the world's main source of large-scale air pollution, Jordan's decision to sign the protocol is aimed at stressing its ""commitment towards the different international conventions, ""Juneidi said. | is aimed at",low medium
"sentiment | At the start of the meeting, the US said it would promote research and development into climate change. | would promote",low medium
"arguing | President Bush caused an international outcry when he rejected the 1997 Kyoto protocol on climate change last year, saying it hindered US economic growth. | hindered US economic growth",medium
"sentiment | President Bush caused an international outcry when he rejected the 1997 Kyoto protocol on climate change last year, saying it hindered US economic growth. | rejected",medium high
"sentiment | President Bush caused an international outcry when he rejected the 1997 Kyoto protocol on climate change last year, saying it hindered US economic growth. | outcry",high
"arguing | President Bush caused an international outcry when he rejected the 1997 Kyoto protocol on climate change last year, saying it hindered US economic growth. | caused an international outcry when he rejected the 1997 Kyoto protocol on climate change last year",low
"sentiment | President Bush caused an international outcry when he rejected the 1997 Kyoto protocol on climate change last year, saying it hindered US economic growth. | hindered US economic growth",medium
arguing | The meeting was the first between the two countries since President George Bush unveiled a new US plan calling for voluntary limits on greenhouse gas emissions based on economic growth rather than mandatory targets. | calling for voluntary limits on greenhouse gas emissions based on economic growth rather than mandatory targets,medium
sentiment | The meeting was the first between the two countries since President George Bush unveiled a new US plan calling for voluntary limits on greenhouse gas emissions based on economic growth rather than mandatory targets. | calling for,low medium
"sentiment | Koizumi, meanwhile, called the new U.S. plan ""a very constructive proposal, ""but asked for more efforts from the UnitedStates. | asked for more efforts from",low medium
"arguing | Japan and the U.S. can cooperate over the development of new technologies in the field and that such technologies will help notonly the environment but also economic development, they agreed. | will help notonly the environment but also economic development",low medium
arguing | The proposal is criticized by environmentalists as ineffective for solving global warming and warn that under the plan U.S. greenhouse gas emissions will continue to rise. | warn that under the plan U.S. greenhouse gas emissions will continue to rise,medium high
agreement | Japanese Prime Minister Junichiro Koizumi and visiting U.S. President George W. Bush differed over the Kyoto Protocol and how to prevent global warming but agreed to cooperate on that issue. | differed over,low medium
"sentiment | Koizumi, meanwhile, called the new U.S. plan ""a very constructive proposal, ""but asked for more efforts from the UnitedStates. | proposal",low
"sentiment | The U.S. president announced an alternative proposal last week, calling for voluntary limits on greenhouse gas emissions by companies in accordance with economic growth instead of mandatory reduction targets presented in the Kyoto pact. | proposal",low
"sentiment | Bush rejected the Kyoto pact last March, saying that it would hurt U.S. economic growth. | rejected",medium high
"sentiment | Bush rejected the Kyoto pact last March, saying that it would hurt U.S. economic growth. | would hurt U.S. economic growth",medium
"arguing | Bush rejected the Kyoto pact last March, saying that it would hurt U.S. economic growth. | would hurt U.S. economic growth",medium
"sentiment | Japan and the U.S. can cooperate over the development of new technologies in the field and that such technologies will help notonly the environment but also economic development, they agreed. | will help notonly the environment but also economic development",medium
arguing | The proposal is criticized by environmentalists as ineffective for solving global warming and warn that under the plan U.S. greenhouse gas emissions will continue to rise. | ineffective for solving global warming,medium
"sentiment | We'd like to see further efforts on the part of the U.S., ""the Japanese leader added. | like",low medium
sentiment | The proposal is criticized by environmentalists as ineffective for solving global warming and warn that under the plan U.S. greenhouse gas emissions will continue to rise. | warn that under the plan U.S. greenhouse gas emissions will continue to rise,medium high
intention | Japanese Prime Minister Junichiro Koizumi and visiting U.S. President George W. Bush differed over the Kyoto Protocol and how to prevent global warming but agreed to cooperate on that issue. | agreed to,low medium
"sentiment | ""It is for the U.S. to decide whether to take part in the protocol or not, but I hope we will continue with our efforts so we can move in the same direction, ""said Koizumi, who supports theKyoto Protocol. | supports",medium
"sentiment | The U.S. president announced an alternative proposal last week, calling for voluntary limits on greenhouse gas emissions by companies in accordance with economic growth instead of mandatory reduction targets presented in the Kyoto pact. | calling for",medium
"intention | In Monday's summit talks, Bush and Koizumi agreed to cooperate together with other countries, including developing nations, on the issue of global warming. | agreed to",low medium
sentiment | The proposal is criticized by environmentalists as ineffective for solving global warming and warn that under the plan U.S. greenhouse gas emissions will continue to rise. | warn that,medium
"sentiment | Koizumi, meanwhile, called the new U.S. plan ""a very constructive proposal, ""but asked for more efforts from the UnitedStates. | asked for",medium
"agreement | The Federal Government denied that the agreement, signed this week, was a signal it was dumping the Kyoto Protocol on greenhouse gases. | agreement",low medium
"arguing | Australia's involvement in Kyoto has been in doubt ever since the US President, George Bush, announced last year that ratifying the protocol would hurt the US economy. | would hurt the US economy",medium
"sentiment | Critics say that on the one hand Australia is saying it does not want to dump Kyoto, yet on the other it is cosying up to the US - which does want to dump Kyoto. | does want to dump",medium
"arguing | The Opposition's environment spokesman, Kelvin Thomson, said yesterday that Australia ""should not follow the US position on climate change "". | position",low medium
sentiment | Blair not happy with new green deal | not happy with,medium
"arguing | But I simply say to people, it is for individual countries to state their own position."" | position",low medium
"intention | A spokeswoman for the Environment Minister, David Kemp, said yesterday that the minister was on his way to talks with the European Union in Brussels after a formal visit to Washington, and that the Government was still committed to Kyoto. | still committed to",medium
"agreement | Asked if the disagreement was also with Australia, Mr Blair said: ""Yes. | disagreement was also with",medium
"sentiment | Australia's involvement in Kyoto has been in doubt ever since the US President, George Bush, announced last year that ratifying the protocol would hurt the US economy. | would hurt the US economy",medium
"arguing | The Federal Government denied that the agreement, signed this week, was a signal it was dumping the Kyoto Protocol on greenhouse gases. | denied that the agreement, signed this week, was a signal it was dumping the Kyoto Protocol on greenhouse gases",medium
"arguing | But I simply say to people, it is for individual countries to state their own position."" | it is for individual countries to state their own position",low
"arguing | The Opposition's environment spokesman, Kelvin Thomson, said yesterday that Australia ""should not follow the US position on climate change "". | should not follow the US position on climate change",medium
"sentiment | Critics say that on the one hand Australia is saying it does not want to dump Kyoto, yet on the other it is cosying up to the US - which does want to dump Kyoto. | on the one hand Australia is saying it does not want to dump Kyoto, yet on the other it is cosying up to the US - which does want to dump Kyoto",medium
"intention | The British Prime Minister, Tony Blair, disagreed yesterday with Australia's decision to sign a climate change deal with the United States. | decision to",low
sentiment | But environmental advocates say Bush's alternative will allow the US to continue to increase the amount of gas it emits. | will allow the US to continue to increase the amount of gas it emits,medium
"sentiment | ""Any further policy to reduce emissions, ""he says ""will hurt Japanese industrial competitiveness."" | will hurt Japanese industrial competitiveness",medium
"sentiment | Birds will start flying an extra mile north each year, and may starve when they get there. | Birds will start flying an extra mile north each year, and may starve when they get there",medium
"intention | But now, with President George Bush saying the US will not ratify the protocol - which was shaped in part to fit Washington's concerns five years ago - the accord's ultimate effectiveness is in doubt, and many US allies are irritated. | will not",medium
"sentiment | But now, with President George Bush saying the US will not ratify the protocol - which was shaped in part to fit Washington's concerns five years ago - the accord's ultimate effectiveness is in doubt, and many US allies are irritated. | are irritated",medium
"arguing | For Japan, a nation of nature-lovers, the shaping of the accord on their soil was a source of pride - and proof that they were still relevant players on the world stage. | nation of nature-lovers",low medium
sentiment | Not everyone in Japan is upset with Bush's alternative. | is upset with,medium
arguing | At no time was it clearer that countries should take steps to slow this process than when 150 countries signed the Kyoto Protocol in 1997. | At no time was it clearer that countries should take steps to slow this process than when,medium high
arguing | But environmental advocates say Bush's alternative will allow the US to continue to increase the amount of gas it emits. | will allow the US to continue to increase the amount of gas it emits,medium
"arguing | ""It is absolutely inadmissible for the US, which is the greatest gas-emitting country, to once again turn its back and present something that is against Kyoto Protocol and the framework convention on climate change, ""says Mie Asaoka, president of the Kiko Network, a Tokyo environmental-umbrella organization representing about 150 Japanese groups. | It is absolutely inadmissible for",high
"sentiment | But now, with President George Bush saying the US will not ratify the protocol - which was shaped in part to fit Washington's concerns five years ago - the accord's ultimate effectiveness is in doubt, and many US allies are irritated. | But now, with President George Bush saying the US will not ratify the protocol - which was shaped in part to fit Washington's concerns five years ago - the accord's ultimate effectiveness is in doubt",low medium
"agreement | ""It is absolutely inadmissible for the US, which is the greatest gas-emitting country, to once again turn its back and present something that is against Kyoto Protocol and the framework convention on climate change, ""says Mie Asaoka, president of the Kiko Network, a Tokyo environmental-umbrella organization representing about 150 Japanese groups. | once again turn its back",medium
"sentiment | For Japan, a nation of nature-lovers, the shaping of the accord on their soil was a source of pride - and proof that they were still relevant players on the world stage. | was a source of pride - and proof that they were still relevant players on the world stage",medium high
"sentiment | They fear that, because the US is forging its own way, smaller nations that are expected to ratify the Kyoto Protocol could start backing out. | fear",medium high
"sentiment | From pulling out of Kyoto - which is in the process of being ratified by the European Union - to labeling Iran, Iraq, and North Korea an ""axis of evil ""and prime targets in the next phase of the war, America's allies are seeing in the US a growing tendency to act first and consult later. | are seeing in the US a growing tendency to act first and consult later",low medium
"sentiment | During Mr. Bush's visit here last month, Mr. Koizumi gently balked at the president's proposed alternative to the Kyoto agreement, saying that Japan would ""like to see further efforts ""on the part of the US. | gently balked at",low medium
"intention | The Bush administration is offering its own alternative plan, the Clear Skies and Global Climate Change Initiatives, which aides say are more market-sensitive and will reduce the worst air pollutants by 70 percent while finding a strategy to cut greenhouse gas intensity by 18 percent over the next 10 years. | is offering its own alternative plan",low
"sentiment | Japanese industry has already gone through vigorous energy-saving - and thus environmentally friendly - drives after the two energy crises of the 1970s and 1980s, says Mitsuru Shinozaki, a spokesman for Keidanren, the country's most influential business lobby. | has already gone through vigorous energy-saving - and thus environmentally friendly - drives",medium
"sentiment | Realizing the accidental slight, the US later apologized for overlooking Prime Minister Junichiro Koizumi's efforts - considered tremendously ambitious here - to alter the interpretation of Japan's post-World War II pacifist constitution in order to dispatch warships for noncombat support. | considered tremendously ambitious",medium high
"sentiment | While there are no protesters in the streets, there is an air of indignation here over Washington's ""do-it-our-way ""decision on something that effects the whole globe. | do-it-our-way",medium
"arguing | US analysts looking east say that as Japan's economic dominance in Asia diminishes, so will the importance of the US-Japan relationship as a whole. | as Japan's economic dominance in Asia diminishes, so will the importance of the US-Japan relationship as a whole",medium
"arguing | ""Any further policy to reduce emissions, ""he says ""will hurt Japanese industrial competitiveness."" | will hurt Japanese industrial competitiveness",medium
arguing | Tokyo irked by US stance on Kyoto | stance on,low
"arguing | ""It is absolutely inadmissible for the US, which is the greatest gas-emitting country, to once again turn its back and present something that is against Kyoto Protocol and the framework convention on climate change, ""says Mie Asaoka, president of the Kiko Network, a Tokyo environmental-umbrella organization representing about 150 Japanese groups. | is the greatest gas-emitting country",medium high
"arguing | In the eyes of Japan and many US allies, the Bush administration's decision not to ratify the Kyoto Protocol is one of many signals that Washington is growing increasingly unilateralist in the six months since the Sept. 11 attacks on America. | is one of many signals that Washington is growing increasingly unilateralist in the six months since the Sept. 11 attacks on America",medium
"sentiment | During Mr. Bush's visit here last month, Mr. Koizumi gently balked at the president's proposed alternative to the Kyoto agreement, saying that Japan would ""like to see further efforts ""on the part of the US. | would ""like to",medium
sentiment | TOKYO - Coral reefs will die from water that's too hot. | Coral reefs will die from water that's too hot,medium
"sentiment | From pulling out of Kyoto - which is in the process of being ratified by the European Union - to labeling Iran, Iraq, and North Korea an ""axis of evil ""and prime targets in the next phase of the war, America's allies are seeing in the US a growing tendency to act first and consult later. | an ""axis of evil ""and prime targets in the next phase of the war",high
"arguing | The slowdown also ""is due in part to the slower growth of methane and carbon dioxide, for reasons that aren't well understood and need more study, ""notes James Hansen, the NASA researcher who conducted the study with Makiko Sato, also with the GISS. | aren't well understood",low
"arguing | Drs. Hansen and Sato argue that policymakers can make significant headway by attacking other pollutants such as black carbon soot, ozone (smog) in the lower atmosphere, and methane from landfills, mining, and oil and gas production. | argue that policymakers can make significant headway by attacking other pollutants such as black carbon soot, ozone (smog) in the lower atmosphere, and methane from landfills, mining, and oil and gas production",medium
"arguing | By focusing on carbon dioxide, the pact sets its sights on curbing the greenhouse gas held most responsible for contributing to the climate's warming during the past century. | held most responsible for contributing to the climate's warming during the past century",low medium
"agreement | The researchers link the slower rate to implementation of the 1987 Montreal Protocol, in which countries agreed to phase out production of gases that erode the Earth's protective ozone layer. | agreed to",medium
"sentiment | If the rate of increase in greenhouse gases had been maintained at the peak reached in 1980, the climate by 2050 would have reached temperatures not currently anticipated until 2100, when CO 2 concentrations in the atmosphere are expected to have doubled, the researchers calculate. | are expected to have doubled",low medium
"arguing | As countries gear up for battles over ratifying the 1997 Kyoto Protocol, a recent study suggests that the world already has stepped along the path to a future cooler than it might have been. | suggests that the world already has stepped along the path to a future cooler than it might have been",low
"sentiment | ""There is nothing to be gained by frightening people when all the facts are not known."" | frightening",high
sentiment | Why Kyoto is a rip-off | is a rip-off,medium high
arguing | Yet rising temperatures pose little threat to Canada. | Yet rising temperatures pose little threat to Canada,medium
sentiment | The worldwide cost of that 8% dip: about $2-trillion in lost GDP -- give or take a trillion. | The worldwide cost of that 8% dip: about $2-trillion in lost GDP -- give or take a trillion,high
"sentiment | ""There is nothing to be gained by frightening people when all the facts are not known."" | There is nothing to be gained by frightening people when all the facts are not known",medium
"arguing | Governments are expected to protect the national economy, and they should deviate from that mission only when crucial national interests are at stake (fighting terrorism, for example). | should deviate from that mission only when crucial national interests are at stake (fighting terrorism, for example)",medium
arguing | Instead of trying to cap carbon dioxide emissions -- a costly burden at home and an impossible task in the developing world -- we should focus on abating the damage global warming does in at-risk nations. | an impossible task in the developing world,high
"agreement | ""I don't accept these figures, ""the Prime Minister said. | don't accept",medium
"sentiment | In its authoritative Feb., 2001, report on the projected impacts of global warming, the Intergovernmental Panel on Climate Change identified several threats to Canadian ecosystems, but concluded that our farmers would generally benefit from warmer temperatures. | authoritative",medium high
arguing | This is not a price worth paying. | is not a price worth paying,medium
"arguing | Even if Canada managed to convince the United States and every other Kyoto signatory to ratify the protocol, world carbon dioxide emissions would still soar. | Even if Canada managed to convince the United States and every other Kyoto signatory to ratify the protocol, world carbon dioxide emissions would still soar",medium high
"arguing | But the $40-billion figure, far from being conceived to ""frighten ""Canadians, is plucked straight from government documents. | far from being conceived to ""frighten ""Canadians",medium high
"arguing | But the $40-billion figure, far from being conceived to ""frighten ""Canadians, is plucked straight from government documents. | is plucked straight from government documents",low medium
sentiment | There are better ways to spend that money. | There are better ways to spend that money,low medium
"sentiment | But the $40-billion figure, far from being conceived to ""frighten ""Canadians, is plucked straight from government documents. | frighten",high
"sentiment | By 2010, our $40-billion sacrifice would yield an expected reduction in annual carbon and carbon-equivalent emissions of about 46-million tonnes -- just 1/200th of the world's total projected greenhouse gas output. | our $40-billion sacrifice",high
"sentiment | As for the globally felt benefits that would follow from Canada's implementation of the Kyoto protocol, they are slight. | As for the globally felt benefits that would follow from Canada's implementation of the Kyoto protocol, they are slight",low medium
"arguing | Even if Canada managed to convince the United States and every other Kyoto signatory to ratify the protocol, world carbon dioxide emissions would still soar. | ratify the protocol",low medium
"intention | Even if Canada managed to convince the United States and every other Kyoto signatory to ratify the protocol, world carbon dioxide emissions would still soar. | convince the United States and every other Kyoto signatory to",medium
"arguing | As for the globally felt benefits that would follow from Canada's implementation of the Kyoto protocol, they are slight. | are slight",low medium
arguing | There are better ways to spend that money. | There are better ways to spend that money,low
arguing | Instead of trying to cap carbon dioxide emissions -- a costly burden at home and an impossible task in the developing world -- we should focus on abating the damage global warming does in at-risk nations. | should focus on abating the damage global warming does in at-risk nations,medium
sentiment | This is not a price worth paying. | is not a price worth paying,high
sentiment | But Jean Chretien is not worried. | is not worried,low
"sentiment | (Non-farming Canadians, most of whom spend at least part of the winter months scraping ice off their cars, chopping firewood and shovelling their walks, will profit as well.) | Non-farming Canadians, most of whom spend at least part of the winter months scraping ice off their cars, chopping firewood and shovelling their walks, will profit as well",low medium
sentiment | Brazil and Germany call for implementation of Kyoto Protocol by September | call for,low medium
"sentiment | Brasilia, 14 (Agencia Brasil - ABr) - In a document entitled Partnership Brasil-Germany: Action Plan, both countrires have expressed interest in seeing the Kyoto Protocol take effect by the Sustainable Development Summit (Rio+10), that takes place in South Africa, next September. | have expressed interest in",low medium
sentiment | Brazil and Germany also call on other countries to ratify the protocol and work to enforce it. | call on,low medium
intention | The document also states that Brazil and Germany intend to expand cooperation in the area of environment and sustainable development. | intend,low
"intention | Brasilia, 13 (Agencia Brasil - ABr) - Today president Fernando Henrique Cardoso declared that the US decision to adopt measures to control greenhouse gases is positive, even though there was a formal decision not to ratify the Kyoto Protocol. | decision to",medium
"sentiment | I hope the measures adopted domestically will have the same effect as adhering to the Kyoto Protocol, ""said Cardoso. | hope",medium
"sentiment | Brasilia, 13 (Agencia Brasil - ABr) - Today president Fernando Henrique Cardoso declared that the US decision to adopt measures to control greenhouse gases is positive, even though there was a formal decision not to ratify the Kyoto Protocol. | is positive",medium
sentiment | Brazil hopes US will not interfere in greenhouse effect negotiations | hopes,medium
"sentiment | Cardoso also said he believes the US is committed to joining other nations in fighting the problem and will adopt domestic measures, although they have formally renounced the Kyoto Protocol. | have formally renounced",medium high
"intention | Cardoso also said he believes the US is committed to joining other nations in fighting the problem and will adopt domestic measures, although they have formally renounced the Kyoto Protocol. | is committed",medium
"arguing | Cardoso also said he believes the US is committed to joining other nations in fighting the problem and will adopt domestic measures, although they have formally renounced the Kyoto Protocol. | believes the US is committed to joining other nations in fighting the problem and will adopt domestic measures",medium
"sentiment | Vietnamese Minister of Science, Technology and Environment Chu Tuan Nha told the first Asia-Europe Meeting [ASEM] Environment Ministers'Meeting [ASEM EnMM] in Beijing recently that Vietnam always values environmental protection, including prevention of pollution or degradation, bio-diversity protection, and improvement of the environment in industrial zones and in both urban and rural areas. | values",medium
"arguing | He emphasized the importance of bilateral cooperation between the two continents in dealing with environmental issues, noting that this meeting will serve as a foundation for Asia and Europe's future cooperation. | emphasized the importance of bilateral cooperation between the two continents in dealing with environmental issues",medium
"arguing | Accordingly, Japan would never readily agree on putting the ""Kyoto Protocol ""into force. | would never readily agree on putting the ""Kyoto Protocol ""into force",medium high
"agreement | The session of the United Nations Framework Convention for Climate Change held this time was to reach on an actual agreement regarding regulatory problems that have to be solved to put the ""Kyoto Protocol ""adopted in 1997 into force, so that the world may reduce the greenhouse effect and ecological damage, which are becoming more serious with each passing day, protect human lives and health, and provide favorable conditions for the promotion of human civilization. | agreement",medium
"intention | If Japan is to achieve this goal, it will have to put a lot of effort. | goal",medium
"sentiment | Emphasizing the significance of the adoption of the ""Kyoto Protocol, ""Japan loudly trumpeted at that time that the adoption of the protocol was ""produced by the role ""Japan had played. | loudly trumpeted at that time that the adoption of the protocol was ""produced by the role ""Japan had played",medium high
"arguing | On the pretext of the US opposition, Japan was attempting to realize its own objective. | On the pretext of the US opposition, Japan was attempting to realize its own objective",medium
"arguing | The session of the United Nations Framework Convention for Climate Change held this time was to reach on an actual agreement regarding regulatory problems that have to be solved to put the ""Kyoto Protocol ""adopted in 1997 into force, so that the world may reduce the greenhouse effect and ecological damage, which are becoming more serious with each passing day, protect human lives and health, and provide favorable conditions for the promotion of human civilization. | are becoming more serious with each passing day",medium high
"arguing | Nonetheless, Japan is backing away from resolving the issue, although it is in a position to play a leading role. | is in a position to play a leading role",medium
arguing | Japan should be condemned by the world for that. | should be condemned by the world for that,high
"arguing | This is the reason why many people of the world today are demanding that the world take concrete measures for protecting the environment, as they have come to realize its importance. | realize its importance",medium
"arguing | Here, Japan and other developed countries have to assume especially large responsibilities. | have to assume especially large responsibilities",medium
"arguing | Since Japan has no spirit of independence and has always acted on US directions, Japan had continued to put off Diet ratification of the protocol and took such an attitude at the UN session held this time, under the plausible pretext that it would be meaningless to put the ""Kyoto Protocol ""into force, if the United States were excluded. | would be meaningless to put the ""Kyoto Protocol ""into force",high
"sentiment | Japan will be unable to escape stronger denunciation and more serious isolation from the world, if it continues to seek only its own profit and create stumbling blocks, and does not do what it is supposed to do to prevent the global warming and seek environmental preservation. | continues to seek only its own profit and create stumbling blocks, and does not do what it is supposed to do to prevent the global warming and seek environmental preservation",high
"sentiment | On the pretext of the US opposition, Japan was attempting to realize its own objective. | On the pretext of the US opposition, Japan was attempting to realize its own objective",high
"sentiment | This is the reason why many people of the world today are demanding that the world take concrete measures for protecting the environment, as they have come to realize its importance. | demanding",medium high
"sentiment | At the United Nations Framework Convention for Climate Change held recently in Morocco, Japan laid artificial obstacles to the session by seeking its own profit. | laid artificial obstacles to the session by seeking its own profit",medium high
"sentiment | On the pretext of the US opposition, Japan was attempting to realize its own objective. | opposition",medium high
"arguing | The United States, which has to do the most to implement the ""Kyoto Protocol, ""has come out opposing the draft regulations. | has to do the most to implement the ""Kyoto Protocol",medium
sentiment | Japan should be condemned by the world for that. | condemned,high
"sentiment | Nonetheless, Japan, changing its stand this time, opposed the draft regulations to put the ""Kyoto Protocol ""into force and even called for liquidation of the draft. | opposed",high
sentiment | That was a hint that it would not be good for Japan to play a leading role in dealing with a matter detrimental to US interests. | it would not be good for Japan to play a leading role in dealing with a matter detrimental to US interests,low medium
arguing | Never doing anything unprofitable is the nature of Japan. | Never doing anything unprofitable is the nature of Japan,medium high
"agreement | In discussing the draft regulations to put the ""Kyoto Protocol ""into force, Japan openly took issue with the draft regulations only because the contents of the regulations were not in its favor. | openly took issue with",medium high
"sentiment | Nonetheless, Japan, changing its stand this time, opposed the draft regulations to put the ""Kyoto Protocol ""into force and even called for liquidation of the draft. | called for liquidation of",high
sentiment | This shows how capricious Japan is and how frequently it changes its stand when the stakes matter the most. | how capricious Japan is and how frequently it changes its stand when the stakes matter the most,high
"arguing | Of course, behind the Japan's behavior lies its stakes. | Of course, behind the Japan's behavior lies its stakes",medium high
"arguing | If Japan is to achieve this goal, it will have to put a lot of effort. | If Japan is to achieve this goal, it will have to put a lot of effort",medium
"sentiment | However, as was revealed this time, Japan, which was in a position to take the lead to solve the environmental problems, attempted to back away from solving the problems. | attempted to back away from solving the problems",medium
"sentiment | Nonetheless, Japan, changing its stand this time, opposed the draft regulations to put the ""Kyoto Protocol ""into force and even called for liquidation of the draft. | changing its stand this time",low medium
"arguing | At present, the global warming is a most serious issue, whose gravity is second only to that of a nuclear war. | is a most serious issue, whose gravity is second only to that of a nuclear war",high
"sentiment | The great leader [yongdoja] Comrade Kim Chong-il has pointed out the following: ""We should conduct proper research work to protect the environment, such as the air and water, in order to maintain people's health and provide them with more hygienic and civilized living conditions."" | The great leader",high
"arguing | Japan calculated that it would suffer a tremendous loss, if the draft regulations were ever passed intact and would be adopted as a legal document. | would suffer a tremendous loss, if the draft regulations were ever passed intact and would be adopted as a legal document",high
"sentiment | Of course, behind the Japan's behavior lies its stakes. | Of course, behind the Japan's behavior lies its stakes",medium high
"sentiment | The United States, which has to do the most to implement the ""Kyoto Protocol, ""has come out opposing the draft regulations. | has come out opposing the draft regulations",medium high
"arguing | In the midst of this situation, a Japanese official visited the United States and received the instruction that Japan should avoid inordinate behavior with respect to the issue of implementing the ""Kyoto Protocol."" | should avoid inordinate behavior with respect to the issue of implementing the ""Kyoto Protocol",medium
"sentiment | Nonetheless, Japan, changing its stand this time, opposed the draft regulations to put the ""Kyoto Protocol ""into force and even called for liquidation of the draft. | called for",medium high
arguing | How the problems of the global warming and environmental preservation are handled today will have a major impact on the lives and health of people as well as the future development of the world. | will have a major impact on the lives and health of people as well as the future development of the world,medium high
sentiment | It grudgingly agreed to it only when some countries made concessions and made amendments to the draft. | grudgingly agreed to,medium
"arguing | As is feared by the whole world, preservation of the environment is becoming an awfully grave and pressing problem that is linked to the existence of mankind. | As is feared by the whole world",medium high
"sentiment | At the 1997 conference, representatives of many countries of the world supported and welcomed the adoption of the ""Kyoto Protocol ""as an epoch-making measure to curb the warming of the earth's surface and atmosphere. | supported and welcomed the adoption of the ""Kyoto Protocol ""as an epoch-making measure to curb the warming of the earth's surface and atmosphere",high
sentiment | Japan should be condemned by the world for that. | should be condemned by the world for that,high
"sentiment | The United States, which has to do the most to implement the ""Kyoto Protocol, ""has come out opposing the draft regulations. | opposing",medium high
"sentiment | Emphasizing the significance of the adoption of the ""Kyoto Protocol, ""Japan loudly trumpeted at that time that the adoption of the protocol was ""produced by the role ""Japan had played. | the adoption of the protocol was ""produced by the role ""Japan had played",high
agreement | It grudgingly agreed to it only when some countries made concessions and made amendments to the draft. | grudgingly agreed to,low
"arguing | Emphasizing the significance of the adoption of the ""Kyoto Protocol, ""Japan loudly trumpeted at that time that the adoption of the protocol was ""produced by the role ""Japan had played. | Emphasizing the significance",medium
"sentiment | The session of the United Nations Framework Convention for Climate Change held this time was to reach on an actual agreement regarding regulatory problems that have to be solved to put the ""Kyoto Protocol ""adopted in 1997 into force, so that the world may reduce the greenhouse effect and ecological damage, which are becoming more serious with each passing day, protect human lives and health, and provide favorable conditions for the promotion of human civilization. | the greenhouse effect and ecological damage, which are becoming more serious with each passing day",medium
"arguing | Japan will be unable to escape stronger denunciation and more serious isolation from the world, if it continues to seek only its own profit and create stumbling blocks, and does not do what it is supposed to do to prevent the global warming and seek environmental preservation. | is supposed to do to prevent the global warming and seek environmental preservation",medium
"sentiment | Since Japan has no spirit of independence and has always acted on US directions, Japan had continued to put off Diet ratification of the protocol and took such an attitude at the UN session held this time, under the plausible pretext that it would be meaningless to put the ""Kyoto Protocol ""into force, if the United States were excluded. | has no spirit of independence and has always acted on US directions",high
sentiment | Never doing anything unprofitable is the nature of Japan. | Never doing anything unprofitable is the nature of Japan,high
"sentiment | Japan will be unable to escape stronger denunciation and more serious isolation from the world, if it continues to seek only its own profit and create stumbling blocks, and does not do what it is supposed to do to prevent the global warming and seek environmental preservation. | continues to seek",medium
"arguing | This is the reason why many people of the world today are demanding that the world take concrete measures for protecting the environment, as they have come to realize its importance. | its importance",medium
"sentiment | In the course of calculating the gains and losses of the ""Kyoto Protocol ""and trying to figure out what it should do, Japan found a good excuse. | In the course of calculating the gains and losses of the ""Kyoto Protocol ""and trying to figure out what it should do, Japan found a good excuse",high
"sentiment | The responsibility for the event, in which a Chinese plane crashed and a Chinese pilot perished, lies completely with the US side. | The responsibility for the event, in which a Chinese plane crashed and a Chinese pilot perished, lies completely with the",low medium
sentiment | It only wants the international treaties that benefit the US security and economy and globalization. | only wants the international treaties that benefit the US security and economy and globalization,medium
"intention | After coming to power, unilateralism and pragmatism have become Bush's main foreign policy line. | main foreign policy line",medium
"intention | Even after the adoption of the resolution on ""maintaining and abiding by the ""Anti-Ballistic Missile Treaty ""on 29 November at the 56th United Nations General Assembly, the United States still persisted in carrying out a fifth missile interception test. | still persisted in",medium high
"sentiment | Bush said, ""Either you are with us or you are with the terrorists ""and ""any nation that continues to harbor or support terrorism will be regarded by the United States as a hostile regime."" | support",medium
"agreement | The Bush administration either refuses to sign, ratify, or implement international treaties or asks for their revision. | refuses to",medium high
