input,output
"expressive | ""It was a far more bares bones facility than frankly I expected to see. | frankly",low
"expressive | ""It was a far more bares bones facility than frankly I expected to see. | far more bares bones",medium
"expressive | ""The United States has to get moving on screening these people and determining whether or not they're P.O.W.'s. | has to get moving",medium
"expressive | Mr. Rumsfeld spoke in an unusual briefing that stretched over an hour in an attempt, he said, to ""tap down some of this hyperbole."" | tap down some of this hyperbole",medium
"expressive | The warden at Camp X-Ray, Col. Terry Carrico, said he was determined at all times to maintain what he called ""positive control ""over the prisoners. | positive control",low
expressive | You bet. | You bet,medium
"expressive | And yet, officials at Guantanamo have said that no interrogation has taken place on the base and that the prisoners do not have lawyers. | And yet",low
"expressive | The International Committee of the Red Cross, in a rare break with its code of not publicly criticizing detaining governments, said the United States might have violated Geneva Convention rules against making a spectacle of prisoners by distributing the pictures, which were published worldwide. | making a spectacle of",medium
"expressive | There is no explanation for the delay."" | There is no explanation",medium
"expressive | It is not clear why the United States has not officially designated the detainees as prisoners of war, especially since Mr. Rumsfeld said they are essentially being treated as such. | It is not clear",low
"expressive | ""I haven't found a single scrap of any kind of information that suggests that anyone has been treated anything other than humanely."" | anyone",low
"expressive | WASHINGTON, Jan. 22 - Frustrated by an international outcry over the American treatment of prisoners in Cuba, Secretary of Defense Donald H. Rumsfeld defended the United States'conduct at length today and dismissed the criticism as breathless armchair hyperbole. | breathless armchair hyperbole",high
"expressive | ""If you want to think the worst about things, you can, ""he said. | If you want to think the worst about things, you can",medium
expressive | Amnesty International sought access to the prisoners in Guantanamo and said they should be allowed to have lawyers. | should,medium
"expressive | Javier Solana, the European Union foreign policy chief, said that despite the Sept. 11 atrocities, ""changing our values and our way of life would be terrorism's first victory."" | terrorism's first victory",high
"expressive | The warden at Camp X-Ray, Col. Terry Carrico, said he was determined at all times to maintain what he called ""positive control ""over the prisoners. | at all times",medium
"expressive | ""I haven't found a single scrap of any kind of information that suggests that anyone has been treated anything other than humanely."" | single scrap",medium
"expressive | ""We are keeping them off the street and out of the airlines and out of nuclear power plants and out of ports across this country and across other countries."" | We are keeping them off the street and out of the airlines and out of nuclear power plants and out of ports across this country and across other countries",high
"expressive | The International Committee of the Red Cross, in a rare break with its code of not publicly criticizing detaining governments, said the United States might have violated Geneva Convention rules against making a spectacle of prisoners by distributing the pictures, which were published worldwide. | might",low
"expressive | ""Keeping prisoners incommunicado, sensory deprivation, the use of unnecessary restraint and the humiliation of people through tactics such as shaving them are all classic techniques employed to break the spirit of individuals ahead of interrogation, ""the organization said. | incommunicado",medium
expressive | Is it inhumane to do that? | inhumane,medium
"expressive | It is not clear why the United States has not officially designated the detainees as prisoners of war, especially since Mr. Rumsfeld said they are essentially being treated as such. | especially since",medium
expressive | No. Would it be stupid to do anything else? | stupid,medium
"expressive | ""Keeping prisoners incommunicado, sensory deprivation, the use of unnecessary restraint and the humiliation of people through tactics such as shaving them are all classic techniques employed to break the spirit of individuals ahead of interrogation, ""the organization said. | break the spirit of",medium
"expressive | ""Keeping prisoners incommunicado, sensory deprivation, the use of unnecessary restraint and the humiliation of people through tactics such as shaving them are all classic techniques employed to break the spirit of individuals ahead of interrogation, ""the organization said. | unnecessary",medium
"expressive | Several governments joined the chorus, saying the prisoners should be granted prisoner of war status under the Geneva Convention. | should",medium
"expressive | ""Keeping prisoners incommunicado, sensory deprivation, the use of unnecessary restraint and the humiliation of people through tactics such as shaving them are all classic techniques employed to break the spirit of individuals ahead of interrogation, ""the organization said. | sensory deprivation",medium
"expressive | ""These people are committed terrorists, ""he said. | These people are committed terrorists",medium
"expressive | Mr. Rumsfeld said one of the complicating factors was that the Geneva Conventions give protection to prisoners from countries but not from terrorist organizations, like Al Qaeda, to which some of the prisoners apparently belong. | complicating factors",low
"expressive | ""I am telling you what I believe in every inch of my body to be the truth, and I have spent a lot of time on secure video with the people down there, ""he told reporters, referring to the United States naval base at Guantanamo Bay, Cuba, where 158 prisoners from the war in Afghanistan are being jailed. | the truth",medium
expressive | Mr. Rumsfeld said the Pentagon's clear priority with the prisoners was to extract information from them to prevent future attacks. | clear,low
expressive | No. Would it be stupid to do anything else? | No,medium
"expressive | ""I haven't found a single scrap of any kind of information that suggests that anyone has been treated anything other than humanely."" | any kind of",medium
"expressive | ""Keeping prisoners incommunicado, sensory deprivation, the use of unnecessary restraint and the humiliation of people through tactics such as shaving them are all classic techniques employed to break the spirit of individuals ahead of interrogation, ""the organization said. | humiliation",high
"expressive | ""I haven't found a single scrap of any kind of information that suggests that anyone has been treated anything other than humanely."" | anything other than humanely",medium
sentiment | Is it inhumane to do that? | Is it inhumane,medium high
"sentiment | ""These people are committed terrorists, ""he said. | are committed terrorists",medium high
"agreement | The Netherlands also urged Washington to recognize the detainees as prisoners of war, saying, ""In the fight, we need to uphold our norms and values."" | to recognize",low medium
"sentiment | And yet, officials at Guantanamo have said that no interrogation has taken place on the base and that the prisoners do not have lawyers. | And yet, officials at Guantanamo have said that no interrogation has taken place on the base and that the prisoners do not have lawyers",low medium
"arguing | ""These people are committed terrorists, ""he said. | are committed terrorists",medium
"arguing | Mr. Rumsfeld said one of the complicating factors was that the Geneva Conventions give protection to prisoners from countries but not from terrorist organizations, like Al Qaeda, to which some of the prisoners apparently belong. | Al Qaeda, to which some of the prisoners apparently belong",low
arguing | Amnesty International sought access to the prisoners in Guantanamo and said they should be allowed to have lawyers. | should be allowed to have lawyers,medium
"arguing | ""We are keeping them off the street and out of the airlines and out of nuclear power plants and out of ports across this country and across other countries."" | We are keeping them off the street and out of the airlines and out of nuclear power plants and out of ports across this country and across other countries",high
"sentiment | ""If you want to think the worst about things, you can, ""he said. | want",medium
"sentiment | It was prompted by a rising tide of international criticism after the Defense Department released photographs over the weekend that showed some of the prisoners kneeling before their captors, their legs in shackles, their hands bound in manacles, their mouths covered by surgical masks and their eyes blinded by large goggles with black tape. | a rising tide of international criticism",medium high
sentiment | Rumsfeld Defends U.S. Treatment of Detainees in Cuba | Defends,medium
"intention | The warden at Camp X-Ray, Col. Terry Carrico, said he was determined at all times to maintain what he called ""positive control ""over the prisoners. | was determined",medium
"sentiment | Mr. Rumsfeld spoke in an unusual briefing that stretched over an hour in an attempt, he said, to ""tap down some of this hyperbole."" | to ""tap down some of this hyperbole",medium
"sentiment | ""If you want to think the worst about things, you can, ""he said. | to think the worst about",high
"intention | The International Committee of the Red Cross, in a rare break with its code of not publicly criticizing detaining governments, said the United States might have violated Geneva Convention rules against making a spectacle of prisoners by distributing the pictures, which were published worldwide. | its code of not",low medium
"arguing | ""I haven't found a single scrap of any kind of information that suggests that anyone has been treated anything other than humanely."" | I haven't found a single scrap of any kind of information that suggests that anyone has been treated anything other than humanely",high
"sentiment | Javier Solana, the European Union foreign policy chief, said that despite the Sept. 11 atrocities, ""changing our values and our way of life would be terrorism's first victory."" | would be terrorism's first victory",medium high
sentiment | Amnesty International sought access to the prisoners in Guantanamo and said they should be allowed to have lawyers. | sought,low
"arguing | But he argued that whenever prisoners, especially those who are dangerous and suicidal, are transported, it only makes sense to lock them in restraints. | argued that whenever prisoners, especially those who are dangerous and suicidal, are transported, it only makes sense to lock them in restraints",medium
"sentiment | The International Committee of the Red Cross, in a rare break with its code of not publicly criticizing detaining governments, said the United States might have violated Geneva Convention rules against making a spectacle of prisoners by distributing the pictures, which were published worldwide. | rules against",low
"sentiment | Mr. Rumsfeld said it was ""probably unfortunate ""that the photographs were released, at least without an explanation. | it was ""probably unfortunate ""that",low medium
agreement | You bet. | You bet,medium high
"sentiment | While debate raged elsewhere, Britain and Spain supported the United States. | supported",medium
"arguing | ""Keeping prisoners incommunicado, sensory deprivation, the use of unnecessary restraint and the humiliation of people through tactics such as shaving them are all classic techniques employed to break the spirit of individuals ahead of interrogation, ""the organization said. | are all classic techniques employed to break the spirit of individuals ahead of interrogation",low medium
sentiment | No. Would it be stupid to do anything else? | Would it be stupid,medium
"arguing | There is no explanation for the delay."" | There is no explanation for",medium high
arguing | Mr. Rumsfeld said the Pentagon's clear priority with the prisoners was to extract information from them to prevent future attacks. | clear priority with the prisoners was to extract information from them to prevent future attacks,low medium
"sentiment | He spoke at a hearing on a petition filed on Sunday by a group of lawyers, clerics and professors who demand that the detainees be identified, taken before a court and told of the charges against them. | demand",high
"arguing | Mr. Rumsfeld said one of the complicating factors was that the Geneva Conventions give protection to prisoners from countries but not from terrorist organizations, like Al Qaeda, to which some of the prisoners apparently belong. | one of the complicating factors was",medium
agreement | No. Would it be stupid to do anything else? | No,medium
"sentiment | ""Keeping prisoners incommunicado, sensory deprivation, the use of unnecessary restraint and the humiliation of people through tactics such as shaving them are all classic techniques employed to break the spirit of individuals ahead of interrogation, ""the organization said. | Keeping prisoners incommunicado, sensory deprivation, the use of unnecessary restraint and the humiliation of people through tactics such as shaving them are all classic techniques employed to break the spirit of individuals ahead of interrogation",high
"sentiment | ""To give standing under a Geneva Convention to a terrorist organization that's not a country is something that I think some of the lawyers who did not drop out of law school as I did worry about as a precedent, ""he said. | worry about as a precedent",medium
"sentiment | The Netherlands also urged Washington to recognize the detainees as prisoners of war, saying, ""In the fight, we need to uphold our norms and values."" | urged",medium
"agreement | Yes."" | Yes",medium
"sentiment | WASHINGTON, Jan. 22 - Frustrated by an international outcry over the American treatment of prisoners in Cuba, Secretary of Defense Donald H. Rumsfeld defended the United States'conduct at length today and dismissed the criticism as breathless armchair hyperbole. | dismissed the criticism as breathless armchair hyperbole",high
"arguing | ""If you want to think the worst about things, you can, ""he said. | If you want to think the worst about things, you can",low medium
"sentiment | WASHINGTON, Jan. 22 - Frustrated by an international outcry over the American treatment of prisoners in Cuba, Secretary of Defense Donald H. Rumsfeld defended the United States'conduct at length today and dismissed the criticism as breathless armchair hyperbole. | defended the United States'conduct at length",medium high
"arguing | It is not clear why the United States has not officially designated the detainees as prisoners of war, especially since Mr. Rumsfeld said they are essentially being treated as such. | are essentially being treated as such",low medium
sentiment | The Bush administration has been under international criticism for not treating the detainees humanel | criticism for,medium
"sentiment | Bush Criticized for Treating Detainees Inhumanely As more inmates joined the hunger strike, some of them reportedly chanted rhythmically on Thursda | Criticized for",medium
agreement | . It recently bowed to international pressure to grant the Taliban prisoners the status of prisoner of war but still refused to cover al Qaeda prisoners with the same treatmen | bowed to,low
sentiment | . It recently bowed to international pressure to grant the Taliban prisoners the status of prisoner of war but still refused to cover al Qaeda prisoners with the same treatmen | pressure,medium
agreement | . It recently bowed to international pressure to grant the Taliban prisoners the status of prisoner of war but still refused to cover al Qaeda prisoners with the same treatmen | refused to,medium high
"expressive | But earlier this week, Deputy Secretary of Defense Paul D. Wolfowitz said that American Special Operations forces might become involved in ""direct support of Philippine military operations, ""though he added that the government seemed ""anxious ""to do the job itself. | might",low
"expressive | ""Today more than ever we also owe those in uniform the resources they need to maintain a very high state of readiness, ""Mr. Bush said. | we also owe those in uniform the resources they need to maintain a very high state of readiness",high
"expressive | ""Today more than ever we also owe those in uniform the resources they need to maintain a very high state of readiness, ""Mr. Bush said. | Today more than ever",high
expressive | They used to rely upon the fact that they thought we were soft. | They used to rely,low
"expressive | But earlier this week, Deputy Secretary of Defense Paul D. Wolfowitz said that American Special Operations forces might become involved in ""direct support of Philippine military operations, ""though he added that the government seemed ""anxious ""to do the job itself. | seemed",low
"expressive | Pentagon officials said some prisoners might also be sedated during the more-than-20-hour flight, but it was not clear whether that had happened. | might",low
"expressive | Amnesty International issued a statement today saying that sedating prisoners or shackling them for an entire flight would violate international standards prohibiting ""cruel, inhuman or degrading ""treatment. | would violate international standards prohibiting ""cruel, inhuman or degrading ""treatment",high
"expressive | ""There's no question that we believe that if they could clear the Abu Sayyaf group out of Basilan Island, that would be a small blow against the extended Al Qaeda network, ""Mr. Wolfowitz said. | small blow against",medium
"expressive | I don't think they think that way anymore."" | anymore",low
expressive | They used to rely upon the fact that they thought we were soft. | we were soft,high
expressive | Senior military officials have said they are increasingly concerned that there are other equally sophisticated and well-fortified underground complexes elsewhere in Afghanistan that could become guerrilla bases for remnants of the Taliban and Al Qaeda forces. | could,low
"sentiment | Amnesty International issued a statement today saying that sedating prisoners or shackling them for an entire flight would violate international standards prohibiting ""cruel, inhuman or degrading ""treatment. | would violate international standards prohibiting ""cruel, inhuman or degrading ""treatment",high
"sentiment | ""Our enemies rely upon surprise and deception. | Our enemies",high
"sentiment | But earlier this week, Deputy Secretary of Defense Paul D. Wolfowitz said that American Special Operations forces might become involved in ""direct support of Philippine military operations, ""though he added that the government seemed ""anxious ""to do the job itself. | anxious ""to",medium
"sentiment | Mr. Rumsfeld declined to discuss details about the growing American involvement in the Philippines, where Abu Sayyaf guerrillas have been battling government troops in the southern island of Basilan. | declined",low medium
sentiment | They used to rely upon the fact that they thought we were soft. | thought we were soft,low medium
"intention | In November, President Bush promised to give the Philippines a $100 million antiterrorism aid package that would include weapons, training and shared intelligence. | promised to",medium
"arguing | ""Our enemies rely upon surprise and deception. | rely upon surprise and deception",low medium
"arguing | Pentagon officials said some prisoners might also be sedated during the more-than-20-hour flight, but it was not clear whether that had happened. | it was not clear",low
"arguing | But earlier this week, Deputy Secretary of Defense Paul D. Wolfowitz said that American Special Operations forces might become involved in ""direct support of Philippine military operations, ""though he added that the government seemed ""anxious ""to do the job itself. | seemed ""anxious ""to do the job itself",low medium
"arguing | ""There's no question that we believe that if they could clear the Abu Sayyaf group out of Basilan Island, that would be a small blow against the extended Al Qaeda network, ""Mr. Wolfowitz said. | There's no question that",medium
arguing | They used to rely upon the fact that they thought we were soft. | thought we were soft,low medium
"agreement | But he defended the use of strong measures, saying the Pentagon had closely studied violent uprisings by Taliban and Al Qaeda prisoners held in the northern Afghan city of Mazar- i-Sharif and in Pakistan. | defended",medium
"arguing | I don't think they think that way anymore."" | think that way",low medium
sentiment | Senior military officials have said they are increasingly concerned that there are other equally sophisticated and well-fortified underground complexes elsewhere in Afghanistan that could become guerrilla bases for remnants of the Taliban and Al Qaeda forces. | are increasingly concerned,medium high
"expressive | And while American prisoners in the Hanoi Hilton often spent years in solitary confinement and received no medical care (John McCain to this day can't comb his own hair), X-Ray detainees get daily sick calls from all manner of doctors, from optometrists to podiatrists. | while",low
"expressive | But as a gaggle of public affairs officers enter, they lay down two immutable laws: There will be no access to detainees (the Geneva Convention forbids making them a ""public curiosity ""). | public curiosity",medium
"expressive | Those who think the prisoners are getting coddled (Rep. John Mica, a Florida Republican, visited the camp and said it's ""too good for the bastards "") will be happy to know that the shampoo is not jojoba-enriched. | will be happy to know",medium
"expressive | Though these seemed perfectly reasonable precautions to take when transporting by C-141 members of an organization already responsible for one prison uprising (Mazar-i-Sharif, which resulted in a CIA operative's death) and several suicide plane crashes, human rights groups and international media, led by a chorus of Euro-whiners, immediately lapsed into hysterics. | perfectly reasonable",medium
"expressive | Sillier still were protestations from such humanitarians as Saddam Hussein and the government of Malaysia (Prime Minister Mahathir Mohamad has made some of the loudest noise, though Amnesty International dings him for arresting the speechwriter of a political rival, who was then blindfolded, stripped naked, punched, verbally abused, and forced to simulate homosexual acts -- none of which is alleged at Camp X-Ray). | such humanitarians as Saddam Hussein and the government of Malaysia",medium
"expressive | ""Wrapped in the suffocating orange boiler suit, ""he wrote, ""I lost any sense of dignity ""-- a loss he could have just as easily sustained by rereading his own copy. | I lost any sense of dignity",high
expressive | Gitmo has actually been the site of a lot of heartbreak over the years. | lot of heartbreak over the years,medium
"expressive | But as a gaggle of public affairs officers enter, they lay down two immutable laws: There will be no access to detainees (the Geneva Convention forbids making them a ""public curiosity ""). | immutable",low
"expressive | ""I'd hate to see who got second place, ""whispers one reporter. | I'd hate to see who got second place",medium
expressive | The only abuse the detainees are experiencing is self-inflicted. | is self-inflicted,medium
"expressive | After Rumsfeld tours Camp X-Ray with four senators and the chairman of the Joint Chiefs of Staff, Richard Myers (who is so overshadowed by the secretary's rock star aura that one reporter has to ask who he is), Rumsfeld meets the press on Heartbreak Ridge. | so overshadowed by the secretary's rock star aura",medium
"expressive | Even if it isn't up to Rumsfeld, the argument seems rather academic. | Even if it is n't",low
"expressive | If there is a prison uprising, it is these gentleman who will man the guard towers and introduce the rioters to their 72 black-eyed virgins. | If",low
"expressive | We can see for ourselves, sort of. | sort of",low
"expressive | It is there that 158 al Qaeda/Taliban prisoners are being detained because, depending on who you ask, it is an ideal, sunny clime, it's not subject to the get-out-of-jail escape hatches of U.S. federal law, or because, as one senior Pentagon official says, ""The lawyers didn't want to go on 14-hour flights to some guano rock in the Pacific."" | ideal, sunny clime",medium
"expressive | In the richest irony of the war on terrorism, the Department of Defense, which normally goes out of its way not to make news, caused an international outcry by releasing still shots of detainees being brought to Camp X-Ray. | richest irony",medium
expressive | Perhaps the international community is right. | Perhaps the international community is right,medium
"expressive | The snipers, of course, are the camp's deadliest sharpshooters, ropy young bucks (21-23 years of age) who seem largely culled from the western or southern United States, where firearms are often regarded as extra appendages. | where firearms are often regarded as extra appendages",medium
"expressive | ""Wrapped in the suffocating orange boiler suit, ""he wrote, ""I lost any sense of dignity ""-- a loss he could have just as easily sustained by rereading his own copy. | suffocating",medium
"expressive | ""This is bullshit, ""thunders another print reporter. | This is bullshit",high
"expressive | The prisoners, by contrast, get to read their Korans, while novels and more ""religious books ""are on the way. | by contrast",low
"expressive | Running the public affairs show is Army Lt. Col. William Costello, a bearish soldier who looks like the kind of guy who enjoys breaking things on his face. | a bearish soldier who looks like the kind of guy who enjoys breaking things on his face",high
"expressive | Running the public affairs show is Army Lt. Col. William Costello, a bearish soldier who looks like the kind of guy who enjoys breaking things on his face. | the public affairs show",medium
"expressive | Immediately, an angry media throng closes in on Costello, the air now containing an Altamont-like level of violence. | an Altamont-like level of violence",medium
"expressive | (Human rights hawks say the matter should be decided by a ""competent tribunal, ""whatever that is.) | whatever that is",medium
"expressive | ""Oh God no, ""he says. | Oh God no",high
"expressive | ""I'm not sure, ""he says, puzzled. | puzzled",medium
"expressive | ""I'm up to my ears in Vieques, ""says Navy Lt. Corey Barker, of the nearby bombing range/public relations fiasco that has been protested by everyone from Al Sharpton to obscure Kennedys. | I'm up to my ears",high
"expressive | Besides that, ever since the detainees started arriving on January 11, Gitmo and the joint forces being run under Southern Command have experienced the PR equivalent of what my ever-subtle colleagues -- borrowing from Special Forces terminology for disastrous missions -- call a ""goat f --."" | ever-subtle",low
expressive | Their restroom arrangements are pretty spartan. | are pretty spartan,low
"expressive | Sitting on a bus on the tarmac, waiting for the secretary to emerge from his plane, we pass the time as journalists do, discussing the AP-style spelling of ""bin Laden, ""speculating whether the prisoners will get an Internet cafe (one of them has asked for video games), and making fun of the fresh-meat Pentagon press corps, who are overdressed in heavy wools instead of our much cooler island linens. | fresh-meat",low
"expressive | Sillier still were protestations from such humanitarians as Saddam Hussein and the government of Malaysia (Prime Minister Mahathir Mohamad has made some of the loudest noise, though Amnesty International dings him for arresting the speechwriter of a political rival, who was then blindfolded, stripped naked, punched, verbally abused, and forced to simulate homosexual acts -- none of which is alleged at Camp X-Ray). | Sillier still",medium
"expressive | ICRC visits, says another soldier, are the highlight of a prisoner's day, since they've been spotted ""giving the unshackled prisoners cookies and milk, cigarettes, shaking their hands."" | the highlight of a prisoner's day",low
"expressive | They're undermining everything we're trying to do."" | undermining everything",medium
"expressive | ""They're looking to be disciplined, ""says one, so that any aggressive guard behavior will make it look as if they're being brutalized by the American military in front of international witnesses. | looking to be disciplined",medium
expressive | But we don't have to take Costello's word for it. | we don't have to take Costello's word for it,low
"expressive | Costello says their eight-by-eight cells contain about twice as much space as soldiers have in their crowded, unventilated tents a few hundred yards away. | crowded, unventilated tents",low
"expressive | It is there that 158 al Qaeda/Taliban prisoners are being detained because, depending on who you ask, it is an ideal, sunny clime, it's not subject to the get-out-of-jail escape hatches of U.S. federal law, or because, as one senior Pentagon official says, ""The lawyers didn't want to go on 14-hour flights to some guano rock in the Pacific."" | depending on who you ask",low
"expressive | We see them offering them cookies, hugging them like they're best buddies. | like they're best buddies",high
"expressive | If you're a terrorist from Central Asia, it's not a bad deal: Kill Americans, get arrested, then get a pay raise from America. | If",low
"expressive | If you're a terrorist from Central Asia, it's not a bad deal: Kill Americans, get arrested, then get a pay raise from America. | Kill Americans, get arrested, then get a pay raise from America",high
"expressive | ""Welcome to the Pearl of the Antilles, ""deadpans Lt. Commander Brendan McPherson, in a limp cruise-director chirp. | in a limp cruise-director chirp",low
"expressive | About the only foreign leader who has supported the American detainee camp, ironically, is Fidel Castro, who is either angling to end the embargo or inching ever closer to dementia. | ironically",low
expressive | There's an obvious culture clash (military personnel don't get paid to ask why; journalists don't get paid otherwise). | journalists don't get paid otherwise,low
"expressive | ""Wrapped in the suffocating orange boiler suit, ""he wrote, ""I lost any sense of dignity ""-- a loss he could have just as easily sustained by rereading his own copy. | could have just as easily sustained by rereading his own copy",medium
"expressive | Though these seemed perfectly reasonable precautions to take when transporting by C-141 members of an organization already responsible for one prison uprising (Mazar-i-Sharif, which resulted in a CIA operative's death) and several suicide plane crashes, human rights groups and international media, led by a chorus of Euro-whiners, immediately lapsed into hysterics. | seemed",low
expressive | But that didn't stop the Mirror's Stephen Moyes from method reporting by donning an al Qaeda rig. | method reporting,low
"expressive | The goodies set out on a table (grape beverage powder and apple jelly from meals-ready-to-eat packs) practically scream, ""Can't wait till you leave."" | goodies",medium
expressive | It's hard to imagine anyone who has actually read the Geneva Convention wanting to confer POW status on alleged al Qaeda members. | It's hard to imagine,medium
"expressive | ""One thing's for sure, ""says a wire reporter, ""you won't have to sort through all your notes to decide what to lead with."" | you won't have to sort through all your notes",medium
expressive | My public affairs keepers couldn't care less. | keepers,low
"expressive | In the most bizarre twist, Lance Corporal Devin Klebaur says a few have also been known to ""put toothpaste in their ass."" | the most bizarre twist",high
"expressive | If we're not happy, that goes double for our public affairs babysitters. | that goes double",low
expressive | Gitmo has actually been the site of a lot of heartbreak over the years. | actually,low
"expressive | At some point, that might become necessary, they tell me, as plotting is obviously afoot. | that might become necessary",medium
expressive | What we're trying to do isn't exactly clear at this point. | isn't exactly clear,low
"expressive | Costello's blood rises as his high-and-tight haircut stands up like an angry-dog scruff: ""BECAUSE...YOU'RE...NOT...STAYING! "" | BECAUSE",high
"expressive | ""Why not? ""snaps the reporter. | Why not",medium
"expressive | Costello's blood rises as his high-and-tight haircut stands up like an angry-dog scruff: ""BECAUSE...YOU'RE...NOT...STAYING! "" | YOU'RE",high
"expressive | At some point, that might become necessary, they tell me, as plotting is obviously afoot. | is obviously afoot",medium
"expressive | And while American prisoners in the Hanoi Hilton often spent years in solitary confinement and received no medical care (John McCain to this day can't comb his own hair), X-Ray detainees get daily sick calls from all manner of doctors, from optometrists to podiatrists. | often spent years in solitary confinement",medium
"expressive | By contrast, for breakfast and lunch alone, the prisoners are served oatmeal, an orange, peanut butter, margarine, a ""culturally appropriate ""halal meal, and a giant snack pack containing Froot Loops, raisins, a Nature Valley granola bar, baked garlic bagel chips, and Bullseye barbecue-seasoned sunflower kernels. | By contrast",low
expressive | The only abuse the detainees are experiencing is self-inflicted. | only abuse,low
"expressive | ""Soldiers and Marines that are guarding the detainees at Camp X-Ray have worse conditions than the detainees, ""he says. | have worse conditions",low
"expressive | After another hour or two of waiting, a mouthy reporter loudly calls his editor so we can all hear him report the latest: ""Same shit, different day. | Same shit, different day",high
"expressive | While he remains as firm as ever that the detainees are ""illegal combatants, ""not ""prisoners of war, ""which would afford them more rights under the Geneva Convention, he nicely avoids plucking the only hair worth splitting -- whether the captives'status is his call. | he nicely avoids plucking the only hair worth splitting",high
"expressive | Besides that, ever since the detainees started arriving on January 11, Gitmo and the joint forces being run under Southern Command have experienced the PR equivalent of what my ever-subtle colleagues -- borrowing from Special Forces terminology for disastrous missions -- call a ""goat f --."" | goat f  --",high
"expressive | Those who think the prisoners are getting coddled (Rep. John Mica, a Florida Republican, visited the camp and said it's ""too good for the bastards "") will be happy to know that the shampoo is not jojoba-enriched. | it's ""too good for the bastards",high
"expressive | ""They get fed better than us, sir, ""says Lampert. | They get fed better than us",low
"expressive | The British press, with typical understatement, claimed prisoners were being ""brutalized, tortured, and humiliated, ""and that the whole operation was nothing more than ""a sick attempt to appeal to the worst red-neck prejudices."" | was nothing more than ""a sick attempt to appeal to the worst red-neck prejudices",high
"expressive | Besides that, ever since the detainees started arriving on January 11, Gitmo and the joint forces being run under Southern Command have experienced the PR equivalent of what my ever-subtle colleagues -- borrowing from Special Forces terminology for disastrous missions -- call a ""goat f --."" | Besides that",low
"expressive | Still, says another soldier, ""They're a pain in the ass. | They're a pain in the ass",high
"expressive | ""You're making us leave as the biggest story gets here."" | biggest story",medium
expressive | The weirdness doesn't end there. | weirdness doesn't end there,medium
"expressive | Still, the overseers of the prison are concerned that detainees aren't getting enough pita bread with their meals, and they're planning to make the food spicier, just the way the prisoners like it back home. | just the way the prisoners like it back home",low
"expressive | Costello's blood rises as his high-and-tight haircut stands up like an angry-dog scruff: ""BECAUSE...YOU'RE...NOT...STAYING! "" | NOT",high
"expressive | ""North, east, whatever, ""he replies, ""I'm Lutheran -- I don't know where the hell it is."" | whatever",low
"expressive | If we're not happy, that goes double for our public affairs babysitters. | babysitters",low
"expressive | The British press, with typical understatement, claimed prisoners were being ""brutalized, tortured, and humiliated, ""and that the whole operation was nothing more than ""a sick attempt to appeal to the worst red-neck prejudices."" | brutalized, tortured, and humiliated",high
"expressive | Likewise, when thousands of Cuban rafters were detained here for months in the mid-'90s, many grew so unhappy with Gitmo's ghostly desolation that they'd do anything to leave, including inject diesel fuel into their veins, drive tent stakes into their limbs, even swim back to Castro's Cuba. | they'd do anything",low
"expressive | ""They're looking to be disciplined, ""says one, so that any aggressive guard behavior will make it look as if they're being brutalized by the American military in front of international witnesses. | will make it look as if they're being brutalized",high
"expressive | If there is a prison uprising, it is these gentleman who will man the guard towers and introduce the rioters to their 72 black-eyed virgins. | introduce the rioters to their 72 black-eyed virgins",high
"expressive | The prisoners will likely be formally charged and tried, though when I called a senior Pentagon source to find out by whom and when, the source said, ""If you find out, will you please tell me? "" | If",low
"expressive | The British press, with typical understatement, claimed prisoners were being ""brutalized, tortured, and humiliated, ""and that the whole operation was nothing more than ""a sick attempt to appeal to the worst red-neck prejudices."" | with typical understatement",low
"expressive | Restricted to an area about 150 yards away from the open-air cellblocks, we observe the camp from a slight elevation that CNN's John Zarrella calls ""Heartbreak Ridge, ""so named ""because if you're a journalist, it breaks your heart that you can't get closer."" | it breaks your heart",medium
"expressive | The prisoners will likely be formally charged and tried, though when I called a senior Pentagon source to find out by whom and when, the source said, ""If you find out, will you please tell me? "" | will likely",low
"expressive | The prisoners will likely be formally charged and tried, though when I called a senior Pentagon source to find out by whom and when, the source said, ""If you find out, will you please tell me? "" | please",low
"expressive | We are certainly interrogating the prisoners, though base sources won't divulge any information that's been gleaned. | certainly",low
"expressive | (Human rights hawks say the matter should be decided by a ""competent tribunal, ""whatever that is.) | should be decided",low
"expressive | Another officer relays something we'll hear repeated often: that because of international political pressure, the prisoners are getting coddled. | prisoners are getting coddled",medium
"expressive | ""I'm up to my ears in Vieques, ""says Navy Lt. Corey Barker, of the nearby bombing range/public relations fiasco that has been protested by everyone from Al Sharpton to obscure Kennedys. | fiasco",high
"expressive | Here, we are given our media ""indoctrination ""packages, never an encouraging word if you aspire to reportorial autonomy. | never an encouraging word if",medium
"expressive | Costello's blood rises as his high-and-tight haircut stands up like an angry-dog scruff: ""BECAUSE...YOU'RE...NOT...STAYING! "" | blood rises as his high-and-tight haircut stands up like an angry-dog scruff",medium
"sentiment | ""I'm up to my ears in Vieques, ""says Navy Lt. Corey Barker, of the nearby bombing range/public relations fiasco that has been protested by everyone from Al Sharpton to obscure Kennedys. | fiasco",medium high
