input,output
arguing | There are many countries in the world that hardly qualify as pluralistic democracies. | There are many countries in the world that hardly qualify as pluralistic democracies,positive
"agreement | ""This action shows that the NGOs themselves do not acknowledge Suhakam and do not want to work with us, ""said Hamdan. | do not acknowledge",negative
sentiment | He added the boycott could create the impression that the NGOs were acting out of self interest and are not honest about championing human rights. | championing,positive
"sentiment | ""The fact that three commissioners have now been axed is a clear signal to other commissioners that their tenure is dependent on whether or not they have pleased the executive. | have now been axed",negative
arguing | Ramdas said Suhakam's performance will be judged not on the number of statements issued or reports produced but on the improvement of human rights in Malaysia. | will be judged not on the number of statements issued or reports produced but on the improvement of human rights in Malaysia,positive
"sentiment | In a related development, Suhakam commissioner Prof Hamdan Adnan told malaysiakini that he was disappointed with the boycott which he described as ""unfair "". | was disappointed with",negative
"sentiment | The Kesas report irked Mahathir after it found the police guilty of using excessive force during a mass anti-government gathering along the Kesas highway on Nov 5, 2000. | irked",negative
"sentiment | ""The NGOs note with deep concern that the government has largely ignored Suhakam's maiden report and its freedom of assembly report. | deep concern",negative
"sentiment | Instead of resorting to such measures, the commissioner said the NGOs should work with Suhakam for the advancement of human rights in this country. | Instead of resorting to such measures",negative
"arguing | They added that Abu Talib, during his tenure as AG [attorney general], was also instrumental for the impeachment of then Lord President Salleh Abas and five Supreme Court judges in 1988. | was also instrumental for the impeachment of then Lord President Salleh Abas and five Supreme Court judges in 1988",positive
"sentiment | Claiming that there was ""nothing personal "", the NGOs said their concern was based on his defense of the 1987'Ops Lalang'where more than 100 people were detained under the ISA [Internal Security Act]. | defense of",positive
"intention | The NGOs also noted that the government has yet to show its commitment and respect for universal human rights principles by ratifying the international instruments of human rights, namely the International Covenant on Civil and Political Rights, the International Covenant on Economic, Social and Cultural Rights and the Covenant Against Torture. | commitment",positive
sentiment | It is clear that the United States pays no attention to fundamental human rights unless they serve its political purpose. | pays no attention to fundamental human rights unless they serve its political purpose,negative
"sentiment | However, such a criticism is absent in the 2001 human rights report as the United States is planning to try the al-Qa'ida and Taliban detainees in military courts while refusing to grant them POW status. | is planning to try the al-Qa'ida and Taliban detainees in military courts while refusing to grant them POW status",negative
"sentiment | Many countries in Asia, Europe, Africa, and Latin America have rejected the content of the US Human Rights Report, calling it a brazen distortion of the situation, a wrongful and illegitimate move, and an interference in the internal affairs of other countries. | calling it a brazen distortion of the situation, a wrongful and illegitimate move, and an interference in the internal affairs of other countries",negative
sentiment | These facts are well understood by the US Administration as human rights violations take place every day. | These facts are well understood by the US Administration as human rights violations take place every day,negative
"intention | However, such a criticism is absent in the 2001 human rights report as the United States is planning to try the al-Qa'ida and Taliban detainees in military courts while refusing to grant them POW status. | refusing to",negative
arguing | It is clear that the United States pays no attention to fundamental human rights unless they serve its political purpose. | pays no attention to fundamental human rights unless they serve its political purpose,positive
"sentiment | The British News Agency Reuters remarked that in the 2000 human rights report, the United States criticized Egypt for trying suspected terrorists in military courts. | criticized Egypt for trying suspected terrorists in military courts",negative
sentiment | The US judgment of the practice of human rights depends on US interests as well. | The US judgment of the practice of human rights depends on US interests as well,negative
"sentiment | Many countries in Asia, Europe, Africa, and Latin America have rejected the content of the US Human Rights Report, calling it a brazen distortion of the situation, a wrongful and illegitimate move, and an interference in the internal affairs of other countries. | rejected",negative
"arguing | Many Americans have given evidence to prove the wrong judgment of their administration against human rights in other countries, especially in Vietnam. | have given evidence to prove the wrong judgment of their administration against human rights in other countries, especially in Vietnam",positive
"arguing | Though the report has been made public for 10 days, its contents, which are inaccurate and lacking good will, continue to be commented on by the world media. | are inaccurate",negative
"sentiment | Though the report has been made public for 10 days, its contents, which are inaccurate and lacking good will, continue to be commented on by the world media. | are inaccurate and lacking good will",negative
sentiment | The Annual Human Rights Report of the US State Department has been strongly criticized and condemned by many countries. | strongly criticized and condemned,negative
"arguing | The article stressed that people in Vietnam are free to practice any religion, whether they are buddhists, catholics, or protestants. | stressed that people in Vietnam are free to practice any religion, whether they are buddhists, catholics, or protestants",positive
sentiment | World analysts remarked that the US evaluation of the practice of human rights in other countries depends on the level of political relations between the United States and those countries. | the US evaluation of the practice of human rights in other countries depends on the level of political relations between the United States and those countries,negative
sentiment | Evidence show that human rights violations in the United States have been ignored for many years. | human rights violations in the United States have been ignored for many years,negative
"sentiment | In the United States, torture and pressure to confess crime is common. | torture and pressure to confess crime is common",negative
"sentiment | Recently, the Information Office of the Chinese People's Congress released a report on human rights in the United States in 2001, criticizing violations of human rights there. | criticizing violations of human rights",negative
arguing | These facts are well understood by the US Administration as human rights violations take place every day. | are well understood by the US Administration as human rights violations take place every day,positive
"arguing | Many countries in Asia, Europe, Africa, and Latin America have rejected the content of the US Human Rights Report, calling it a brazen distortion of the situation, a wrongful and illegitimate move, and an interference in the internal affairs of other countries. | a brazen distortion of the situation, a wrongful and illegitimate move, and an interference in the internal affairs of other countries",positive
sentiment | The Annual Human Rights Report released by the US State Department is not convincing as it is inaccurate and fabricated. | is not convincing as it is inaccurate and fabricated,negative
arguing | The US judgment of the practice of human rights depends on US interests as well. | depends on US interests as well,positive
arguing | World analysts remarked that the US evaluation of the practice of human rights in other countries depends on the level of political relations between the United States and those countries. | depends on the level of political relations between the United States and those countries,positive
"agreement | The Washington Times last weekend carried an article by Andrew Welsdan, a representative of the US Fund for Reconciliation and Development, rejecting the report's allegation of human rights in Vietnam. | rejecting",negative
sentiment | Many people have been sentenced to death for crime they did not commit as a result of an unjust legal system. | Many people have been sentenced to death for crime they did not commit as a result of an unjust legal system,negative
"sentiment | However, such a criticism is absent in the 2001 human rights report as the United States is planning to try the al-Qa'ida and Taliban detainees in military courts while refusing to grant them POW status. | such a criticism",negative
"sentiment | After the 11 September suicide bomb attacks on the World Trade Center and the Pentagon, the United States, instead of investigating the matter and coming up with proof, put all the blame for terrorism on Afghanistan. | put all the blame for terrorism on",negative
"sentiment | As a lesson to others!, various American TV channels, daily, show shots of the conditions under which these prisoners are being kept. | As a lesson to others!, various American TV channels, daily, show shots of the conditions under which these prisoners are being kept",negative
"arguing | North Korea has also been made the target due to the reason that according to the United States, it is being blamed for transferring nuclear technology and weapons to Islamic countries. | is being blamed for transferring nuclear technology and weapons to Islamic countries",positive
sentiment | Five hundred Taliban prisoners arrested from Afghanistan are being kept in cages on an island near Cuba. | Five hundred Taliban prisoners arrested from Afghanistan are being kept in cages on an island near Cuba,negative
sentiment | The way in which Pakistan has been fully supporting the United States after 11 September 2001 -- the total benefit of that has been earned by the United States. | the total benefit of that has been earned by the United States,negative
sentiment | This not only shows the double standards of the US but also its selfishness. | the double standards of the US but also its selfishness,negative
"sentiment | This can be traced back to the events in 1818, when American cowboys used blind force to oppress the blacks. | used blind force to oppress the blacks",negative
"arguing | According to China, the American society is engulfed by violence and crime. | is engulfed by violence and crime",positive
"sentiment | The whole world witnessed this loathsome action by the United States, but no one -- including the Muslim community -- raised a voice against this horrifying act of oppression. | this horrifying act of oppression",negative
arguing | The actual US objective is the protection of its own interests worldwide for which it does not care for any moral values. | The actual US objective is the protection of its own interests worldwide for which it does not care for any moral values,positive
sentiment | The CIA was given the task to topple governments and install rulers of its own choice. | own choice,positive
"sentiment | North Korea has also been made the target due to the reason that according to the United States, it is being blamed for transferring nuclear technology and weapons to Islamic countries. | is being blamed for transferring nuclear technology and weapons to Islamic countries",negative
"arguing | It can be derived from this that the US attack on Afghanistan without any logic, was not an impulsive action but the psychology of maintaining US supremacy was fully involved in it. | It can be derived from this that the US attack on Afghanistan without any logic, was not an impulsive action",negative
"sentiment | Instead of blindly accepting every demand made by the United States and responding positively to every American phone call, Pakistan should take every single step carefully. | Instead of blindly accepting every demand made by the United States and responding positively to every American phone call",negative
"sentiment | Encouraged by the global community's shameful silence, the United States has announced the second phase of its war against terrorism. | Encouraged by the global community's shameful silence, the United States has announced the second phase of its war against terrorism",negative
"sentiment | The seven countries which the US terms as a threat to its security and against which it can use nuclear weapons, also include Russia and China. | terms as a threat to its security and against which it can use nuclear weapons, also include Russia and China",negative
sentiment | Racial prejudice has assumed alarming proportions. | Racial prejudice,negative
"arguing | Therefore, China is justified in demanding that the United States, by creating conflicts and by embarking upon the policy of oppression and supremacy should stop interfering in the affairs of other countries in the name of human rights. | demanding that the United States, by creating conflicts and by embarking upon the policy of oppression and supremacy should stop interfering in the affairs of other countries in the name of human rights",positive
intention | American intellectual Noam Chomsky has proved in his writings that the accomplishment of its goals by aggression and terrorism is a part of the American psyche. | goals,positive
"sentiment | The whole world witnessed this loathsome action by the United States, but no one -- including the Muslim community -- raised a voice against this horrifying act of oppression. | raised a voice against",negative
"sentiment | During the same period, anti-Soviet hysteria was also promoted strongly. | anti-Soviet hysteria",negative
sentiment | The way in which Pakistan has been fully supporting the United States after 11 September 2001 -- the total benefit of that has been earned by the United States. | has been fully supporting,positive
"sentiment | In this operation, the manner in which defenseless, innocent and poor Muslims were blown up by ammunition is one of the most dreadful events in history. | In this operation, the manner in which defenseless, innocent and poor Muslims were blown up by ammunition is one of the most dreadful events in history",negative
"sentiment | During the same period, anti-Soviet hysteria was also promoted strongly. | promoted strongly",positive
sentiment | The actual US objective is the protection of its own interests worldwide for which it does not care for any moral values. | The actual US objective is the protection of its own interests worldwide for which it does not care for any moral values,negative
"arguing | According to the analysis of Chomsky, after World War II, the US think tank had planned to subjugate a few regions of the world for its economic progress. | had planned to subjugate a few regions of the world for its economic progress",positive
"sentiment | Encouraged by the global community's shameful silence, the United States has announced the second phase of its war against terrorism. | shameful",negative
"sentiment | During the same period, anti-Soviet hysteria was also promoted strongly. | anti-Soviet hysteria was also promoted strongly",negative
arguing | There is no protection of women rights including their respect and sanctity. | There is no protection of women rights including their respect and sanctity,negative
arguing | American intellectual Noam Chomsky has proved in his writings that the accomplishment of its goals by aggression and terrorism is a part of the American psyche. | has proved in his writings that the accomplishment of its goals by aggression and terrorism is a part of the American psyche,positive
sentiment | There is no protection of women rights including their respect and sanctity. | There is no protection of women rights including their respect and sanctity,negative
"sentiment | The whole world witnessed this loathsome action by the United States, but no one -- including the Muslim community -- raised a voice against this horrifying act of oppression. | this loathsome action by",negative
"sentiment | The whole world witnessed this loathsome action by the United States, but no one -- including the Muslim community -- raised a voice against this horrifying act of oppression. | but no one -- including the Muslim community -- raised a voice",negative
sentiment | In the document serious criticism was made on the expanding military presence by the United States at the international level and it was demanded that the United States should stop the policy of dominating the world. | serious criticism was made on,negative
arguing | It is possible that the United States itself planned this suicidal attack. | It is possible that the United States itself planned this suicidal attack,positive
"sentiment | It has been clearly mentioned in various documents including the US National Security Council memorandum number 68 issued in 1950, that US supremacy has to be maintained at any cost. | clearly mentioned in various documents including the US National Security Council memorandum number 68 issued in 1950, that US supremacy has to be maintained at any cost",negative
arguing | This report [above-mentioned document by China] should be an eye opener for the whole world and the United States should be viewed in its true perspective. | should be an eye opener for the whole world,positive
"arguing | In the document, the United States has been very openly told that it has become the number one country in damaging solidarity of other countries and violating human rights there. | has become the number one country in damaging solidarity of other countries and violating human rights there",positive
"arguing | After the 11 September events, the United States completely ignored the international convention of human rights and by doing so negated its own constitution. | by doing so negated its own constitution",positive
"arguing | After the 11 September suicide bomb attacks on the World Trade Center and the Pentagon, the United States, instead of investigating the matter and coming up with proof, put all the blame for terrorism on Afghanistan. | put all the blame for terrorism on",positive
arguing | The way in which Pakistan has been fully supporting the United States after 11 September 2001 -- the total benefit of that has been earned by the United States. | the total benefit of that has been earned by the United States,positive
"sentiment | It is due to this hegemony, which the United States wants to maintain, that its State Department makes an assessment of the human rights situation in different countries and prepares a report on their violations all over the world. | this hegemony",negative
intention | It is possible that the United States itself planned this suicidal attack. | planned,positive
"sentiment | In the document, the United States has been very openly told that it has become the number one country in damaging solidarity of other countries and violating human rights there. | has become the number one country in damaging solidarity of other countries and violating human rights there",negative
"arguing | Above all, the US media has reported that the involvement of Jews in the 11 September events cannot be ruled out. | cannot be ruled out",negative
arguing | This report [above-mentioned document by China] should be an eye opener for the whole world and the United States should be viewed in its true perspective. | should be viewed in its true perspective,positive
sentiment | This also exposes the background of keeping the US troops and military basis in different parts of the world. | the background of keeping the US troops and military basis in different parts of the world,negative
sentiment | It is possible that the United States itself planned this suicidal attack. | It is possible that the United States itself planned this suicidal attack,negative
arguing | Pakistan also needs to rethink in this regard. | needs to rethink in this regard,positive
"intention | By declaring Iraq, Iran and North Korea as'axis of evil', the United States has announced to target these countries in the same manner as! Afghanistan. | has announced to",positive
sentiment | These prisoners have been placed in inhuman conditions and the reason for keeping them on this island is that US law does not apply there. | These prisoners have been placed in inhuman conditions and the reason for keeping them on this island is that US law does not apply there,negative
"sentiment | The Iranian President Mohammed Khatami, on the start of his visit to Austria, protested against this dictatorial move by the United States. | this dictatorial move by",negative
"sentiment | Since then, the United States has been raising artificial slogans of preservation of democracy and human rights and developing standards of living. | has been raising artificial slogans of preservation of democracy and human rights and developing standards of living",negative
arguing | These prisoners have been placed in inhuman conditions and the reason for keeping them on this island is that US law does not apply there. | is that US law does not apply there,positive
"arguing | The seven countries which the US terms as a threat to its security and against which it can use nuclear weapons, also include Russia and China. | terms as a threat to its security and against which it can use nuclear weapons, also include Russia and China",positive
arguing | Racial prejudice has assumed alarming proportions. | has assumed alarming proportions,positive
"sentiment | The Iranian President Mohammed Khatami, on the start of his visit to Austria, protested against this dictatorial move by the United States. | protested against",negative
intention | The actual US objective is the protection of its own interests worldwide for which it does not care for any moral values. | objective is,positive
"sentiment | Instead of blindly accepting every demand made by the United States and responding positively to every American phone call, Pakistan should take every single step carefully. | demand",positive
"sentiment | According to the analysis of Chomsky, after World War II, the US think tank had planned to subjugate a few regions of the world for its economic progress. | subjugate a few regions of the world for its economic progress",negative
"sentiment | By declaring Iraq, Iran and North Korea as'axis of evil', the United States has announced to target these countries in the same manner as! Afghanistan. | declaring Iraq, Iran and North Korea as'axis of evil",negative
"sentiment | Instead of blindly accepting every demand made by the United States and responding positively to every American phone call, Pakistan should take every single step carefully. | responding positively to",positive
sentiment | In the document serious criticism was made on the expanding military presence by the United States at the international level and it was demanded that the United States should stop the policy of dominating the world. | the policy of dominating the world,negative
"arguing | Since then, the United States has been raising artificial slogans of preservation of democracy and human rights and developing standards of living. | artificial",negative
arguing | Apparently President Bush's attitude looks like a reaction to the events of 11 September 2001. | Apparently President Bush's attitude looks like a reaction to the events of 11 September 2001,positive
"arguing | After the 11 September events, the United States completely ignored the international convention of human rights and by doing so negated its own constitution. | completely ignored the international convention of human rights",positive
"agreement | Instead of blindly accepting every demand made by the United States and responding positively to every American phone call, Pakistan should take every single step carefully. | blindly accepting",positive
sentiment | They said it was an act of terrorism that was against international law and said it crushed human rights principles! | was an act of terrorism that was against international law,negative
sentiment | The only reason for this would be opposition to the United States. | opposition to,negative
"sentiment | When the Imam (may God be satisfied with him) issued the fatwa against Salman Rushdie for insulting the Prophet (peace be upon him) and the holy Koran, the countries that are so-called supporters of human rights protested against the fatwa. | are so-called supporters of human rights",negative
"arguing | If the European countries were honest in the withdrawal of their ambassadors from Iran, blaming Iran for violating human rights, then they should recall their ambassadors from the United States. | If the European countries were honest in the withdrawal of their ambassadors from Iran, blaming Iran for violating human rights, then they should recall their ambassadors from the United States",positive
"sentiment | After all the United States is not violating the rights of one human being, but many many human beings. | After all the United States is not violating the rights of one human being, but many many human beings",negative
sentiment | It would therefore be appropriate for all Islamic countries to withdraw their ambassadors from the United States. | It would therefore be appropriate for all Islamic countries to withdraw their ambassadors from,negative
"arguing | If the European countries were honest in the withdrawal of their ambassadors from Iran, blaming Iran for violating human rights, then they should recall their ambassadors from the United States. | blaming Iran for violating human rights",positive
"arguing | No one will allow this human achievement, which is the discovery of God-given human rights, which is achieved after thousands of years of research, to be wasted away. | God-given",positive
sentiment | It is obvious no country will put up with this cruelty. | this cruelty,negative
"sentiment | If the European countries were honest in the withdrawal of their ambassadors from Iran, blaming Iran for violating human rights, then they should recall their ambassadors from the United States. | blaming Iran for violating human rights",negative
arguing | The United States thinks that it can silence the justice-seeking cries of the peoples of the world with the sound of explosions from 7-ton bombs and it thinks that it can justify its own inhuman behavior in the shadow of this noise. | can justify its own inhuman behavior in the shadow of this noise,positive
sentiment | This directive is issued at a time when the American government is claiming to lead the fight against terrorism throughout the world. | This directive is issued at a time when the American government is claiming to lead the fight against terrorism throughout the world,negative
"sentiment | No one will allow this human achievement, which is the discovery of God-given human rights, which is achieved after thousands of years of research, to be wasted away. | this human achievement",positive
arguing | It is obvious no country will put up with this cruelty. | It is obvious no country will put up with this cruelty,positive
arguing | This directive is issued at a time when the American government is claiming to lead the fight against terrorism throughout the world. | is claiming to lead the fight against terrorism throughout the world,positive
sentiment | The United States thinks that it can silence the justice-seeking cries of the peoples of the world with the sound of explosions from 7-ton bombs and it thinks that it can justify its own inhuman behavior in the shadow of this noise. | thinks that it can justify its own inhuman behavior in the shadow of this noise,negative
"arguing | No one will allow this human achievement, which is the discovery of God-given human rights, which is achieved after thousands of years of research, to be wasted away. | No one will allow this human achievement, which is the discovery of God-given human rights, which is achieved after thousands of years of research, to be wasted away",negative
"sentiment | It seems that following the blow that the Americans received on September 11 in New York and Washington, the United States is determined to take justice to pre-historic times. | It seems that following the blow that the Americans received on September 11 in New York and Washington, the United States is determined to take justice to pre-historic times",negative
arguing | It would therefore be appropriate for all Islamic countries to withdraw their ambassadors from the United States. | It would therefore be appropriate for all Islamic countries to withdraw their ambassadors from the United States,positive
arguing | This was not simply a directive from God that was confirmed by all the clerics throughout the Islamic world. | was not simply a directive from God that was confirmed by all the clerics throughout the Islamic world,negative
"sentiment | When the Imam (may God be satisfied with him) issued the fatwa against Salman Rushdie for insulting the Prophet (peace be upon him) and the holy Koran, the countries that are so-called supporters of human rights protested against the fatwa. | be satisfied with",positive
sentiment | By clarifying the Imam's edict the Islamic Republic of Iran made the people of the world understand that insulting the Prophet was in fact violating the rights of millions of people throughout the world. | insulting the Prophet was in fact violating the rights of millions of people throughout the world,negative
"arguing | After all the United States is not violating the rights of one human being, but many many human beings. | After all the United States is not violating the rights of one human being, but many many human beings",positive
"arguing | No one will allow this human achievement, which is the discovery of God-given human rights, which is achieved after thousands of years of research, to be wasted away. | is achieved after thousands of years of research",positive
arguing | The United States thinks that it can silence the justice-seeking cries of the peoples of the world with the sound of explosions from 7-ton bombs and it thinks that it can justify its own inhuman behavior in the shadow of this noise. | thinks that it can justify its own inhuman behavior in the shadow of this noise,positive
"arguing | When the Imam (may God be satisfied with him) issued the fatwa against Salman Rushdie for insulting the Prophet (peace be upon him) and the holy Koran, the countries that are so-called supporters of human rights protested against the fatwa. | are so-called supporters of human rights",negative
arguing | They said it was an act of terrorism that was against international law and said it crushed human rights principles! | was an act of terrorism that was against international law,positive
"sentiment | Now the United States has issued an assassination order against millions of human beings without having any proof, reason or documentation. | has issued an assassination order against",negative
sentiment | In a coordinated move the European countries all recalled their ambassadors from Tehran in order to put the Islamic Republic of Iran under pressure. | In a coordinated move the European countries all recalled their ambassadors from Tehran in order to put the Islamic Republic of Iran under pressure,negative
arguing | By clarifying the Imam's edict the Islamic Republic of Iran made the people of the world understand that insulting the Prophet was in fact violating the rights of millions of people throughout the world. | By clarifying the Imam's edict the Islamic Republic of Iran made the people of the world understand that insulting the Prophet was in fact violating the rights of millions of people throughout the world,positive
"sentiment | If the European countries were honest in the withdrawal of their ambassadors from Iran, blaming Iran for violating human rights, then they should recall their ambassadors from the United States. | If the European countries were honest in the withdrawal of their ambassadors from Iran, blaming Iran for violating human rights, then they should recall their ambassadors from",negative
sentiment | The United States thinks that it can silence the justice-seeking cries of the peoples of the world with the sound of explosions from 7-ton bombs and it thinks that it can justify its own inhuman behavior in the shadow of this noise. | seeking,positive
sentiment | US President Bush has ordered the US Central Intelligence Agency (CIA) to assassinate America's opponents wherever in the world they may be! | has ordered the US Central Intelligence Agency (CIA) to assassinate America's opponents wherever in the world they may be,negative
"arguing | ""The human communities have suffered heavy human losses in the course of devastating world wars and understood that any progress in human communities is dependent on honoring the human rights, ""it said. | is dependent on honoring the human rights",positive
"arguing | Meanwhile, in another development, the Geneva-based United Nations High Commissioner for Human Rights Mary Robinson called on Israel to stop bombing the Palestinian targets in the West Bank and Gaza Strip and allow in international monitors. | called on Israel to stop bombing the Palestinian targets in the West Bank and Gaza Strip and allow in international monitors",positive
"arguing | The solidarity would bring about an international campaign to dry up the roots of terrorism and expand peace and security in the international community, but, certain countries resort to military power and embark on trampling upon human rights of civilians. | would bring about an international campaign to dry up the roots of terrorism and expand peace and security in the international community",positive
arguing | The statement urged the statesmen in different countries to heed the religious teachings calling for respect for human rights and said that no peace will be established without honoring human | no peace will be established without honoring human,negative
"sentiment | She denounced Israeli terrorist attacks against Palestinian activists, urging it to halt what she called targeted killing of Palestinians. | urging",positive
"sentiment | The IHRC called for prohibition of discrimination, torture, arbitrary detention and honoring the human rights, political rights, the rights of associations, the women's rights as well as the rights envisaged in the international declaration for human rights as recommended by the divine religions several centuries ago. | called for",positive
"sentiment | The statement deplored the injustice against the Palestinian nation and violation of human rights of political activists, journalists, the religious minorities, the children and women in some parts of the world. | deplored",negative
"arguing | She denounced Israeli terrorist attacks against Palestinian activists, urging it to halt what she called targeted killing of Palestinians. | targeted killing of Palestinians",positive
"sentiment | The IHRC called for prohibition of discrimination, torture, arbitrary detention and honoring the human rights, political rights, the rights of associations, the women's rights as well as the rights envisaged in the international declaration for human rights as recommended by the divine religions several centuries ago. | called for prohibition of",negative
"sentiment | She denounced Israeli terrorist attacks against Palestinian activists, urging it to halt what she called targeted killing of Palestinians. | urging it to halt",negative
"sentiment | She denounced Israeli terrorist attacks against Palestinian activists, urging it to halt what she called targeted killing of Palestinians. | targeted killing of Palestinians",negative
sentiment | The statement urged the statesmen in different countries to heed the religious teachings calling for respect for human rights and said that no peace will be established without honoring human | urged,positive
"sentiment | Meanwhile, in another development, the Geneva-based United Nations High Commissioner for Human Rights Mary Robinson called on Israel to stop bombing the Palestinian targets in the West Bank and Gaza Strip and allow in international monitors. | called on Israel to stop",negative
"sentiment | The solidarity would bring about an international campaign to dry up the roots of terrorism and expand peace and security in the international community, but, certain countries resort to military power and embark on trampling upon human rights of civilians. | would bring about an international campaign to dry up the roots of terrorism and expand peace and security in the international community",positive
sentiment | The IHRC said that all nations and religions condemned the September 11 terrorist attacks on New York and Washington. | condemned,negative
"sentiment | The IHRC said in a statement to mark December 10, ""international day for human rights ""that the international community has formulated numerous documents to honor human rights after 50 years of bitter experience and the heavy losses that the humanity has suffered. | honor",positive
sentiment | The statement said that several hundred documents have been signed to promote human rights and different cultures have put forward their outlooks about human rights and envisaged measures to stop violation of human rights. | promote,positive
"sentiment | Tehran, Dec 9, IRNA -- Tehran-based Islamic Human Rights Commission (IHRC) on Sunday expressed concern about return of the period in which force and weapon had the last say in international relations. | expressed concern about",negative
"arguing | In its so-called war against terrorism and against weapons of mass destruction lies its covert motive and that is its strategic and economic interests, ""Abbas added. | In its so-called war against terrorism and against weapons of mass destruction lies its covert motive and that is its strategic and economic interests",positive
"sentiment | In its so-called war against terrorism and against weapons of mass destruction lies its covert motive and that is its strategic and economic interests, ""Abbas added. | In its so-called war against terrorism and against weapons of mass destruction lies its covert motive",negative
arguing | He said those countries and nations which are independant in real sense of the world and do not take dictation from the US or accepts its supremacy are labelled as human rights violators. | are labelled as human rights violators,positive
"arguing | ""Those who submit to its policies are showered upon favours, ""he added. | Those who submit to its policies are showered upon favours",positive
"sentiment | ""They can see and observe the unjust and discriminatory policies of America. | the unjust and discriminatory policies of",negative
"arguing | People do not believe whatever the America says, ""he concluded. | do not believe",negative
"sentiment | However, he hoped that the people of the world can no more be kept in dark. | hoped",positive
"arguing | He told IRNA in an interview on Monday, ""America has killed thousands of innocent people in almost all parts of the globe particularly in the Muslim world. | has killed thousands of innocent people in almost all parts of the globe particularly in the Muslim world",positive
"sentiment | It denounces human rights violation but supports Israel for perishing the Muslims in Palestine and Lebanon, ""Abbas criticized. | denounces",negative
arguing | He said those countries and nations which are independant in real sense of the world and do not take dictation from the US or accepts its supremacy are labelled as human rights violators. | those countries and nations which are independant in real sense of the world and do not take dictation from the US or accepts its supremacy are labelled as human rights violators,positive
sentiment | He said those countries and nations which are independant in real sense of the world and do not take dictation from the US or accepts its supremacy are labelled as human rights violators. | are labelled as human rights violators,negative
"arguing | ""America always follows its interests. | always follows its interests",positive
"sentiment | It denounces human rights violation but supports Israel for perishing the Muslims in Palestine and Lebanon, ""Abbas criticized. | supports",positive
"sentiment | ""America has a double standard policy. | has a double standard policy",negative
"sentiment | He told IRNA in an interview on Monday, ""America has killed thousands of innocent people in almost all parts of the globe particularly in the Muslim world. | has killed thousands of innocent people in almost all parts of the globe particularly in the Muslim world",negative
"sentiment | Islamabad, March 18, IRNA - Central Leader of Pakistan People Party (PPP) and former provincial minister of North-West Frontier Province (NWFP) Seyed Qamar Abbas has rejected US state department report on Human Rights in Iran and other countries, saying America has no right to make such a report as it is itself the violator of human rights. | has rejected",negative
"arguing | Islamabad, March 18, IRNA - Central Leader of Pakistan People Party (PPP) and former provincial minister of North-West Frontier Province (NWFP) Seyed Qamar Abbas has rejected US state department report on Human Rights in Iran and other countries, saying America has no right to make such a report as it is itself the violator of human rights. | has no right to make such a report as it is itself the violator of human rights",negative
"sentiment | Islamabad, March 18, IRNA - Central Leader of Pakistan People Party (PPP) and former provincial minister of North-West Frontier Province (NWFP) Seyed Qamar Abbas has rejected US state department report on Human Rights in Iran and other countries, saying America has no right to make such a report as it is itself the violator of human rights. | has no right to make such a report as it is itself the violator of human rights",negative
"arguing | In other cases, he made unfounded charges by accusing Iran of discrimination against women and minorities. | unfounded",negative
arguing | This spiteful attitude clearly shows that Copithorne is only a hireling tasked with tarnishing the image of the Islamic Republic and its senior officials. | This spiteful attitude clearly shows that Copithorne is only a hireling tasked with tarnishing the image of the Islamic Republic and its senior officials,positive
"sentiment | The United Nations human rights rapporteur, Maurice Copithorne, on Friday once again repeated his stereotyped allegations against the Islamic Republic by expressing concern over what he called human rights violations in Iran. | allegations against",negative
"arguing | Women in Iran hold managerial, academic and parliamentary posts and even have positions in the government and the cabinet. | and even have positions in the government and the cabinet",positive
"arguing | And as far as minorities are concerned, they enjoy rights equal to those of the Muslim majority, as they have their own representatives in Parliament and practice their religion quite freely. | enjoy rights equal to those of the Muslim majority, as they have their own representatives in Parliament and practice their religion quite freely",positive
"arguing | Copithorne, who has served in the UN post since 1995, through his Iran reports to the UN Commission on Human Rights (UNCHR), whose 53 member states open an annual six-week session on March 18, has clearly shown that he is under the strong influence of Zionist circles and Washington's biased attitude towards the Islamic Republic. | through his Iran reports to the UN Commission on Human Rights (UNCHR), whose 53 member states open an annual six-week session on March 18, has clearly shown that he is under the strong influence of Zionist circles and Washington's biased attitude towards the Islamic Republic",positive
sentiment | This spiteful attitude clearly shows that Copithorne is only a hireling tasked with tarnishing the image of the Islamic Republic and its senior officials. | spiteful,negative
arguing | Publishing such biased reports will only create mistrust among nations regarding the objectives and independence of the UN Commission on Human Rights. | will only create mistrust among nations regarding the objectives and independence of the UN Commission on Human Rights,positive
